G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	"Sun, Nov 14, 2010"	REG		Colorado-Colorado Springs		W	66	53		1	0	W 1	Clune Arena 	NA	air-force	2011
2	"Wed, Nov 17, 2010"	REG		Colorado College		L	57	60	OT	1	1	L 1	Clune Arena 	NA	air-force	2011
3	"Sat, Nov 20, 2010"	REG		Tennessee State	OVC	W	87	72		2	1	W 1	Clune Arena 	tennessee-state	air-force	2011
4	"Wed, Nov 24, 2010"	REG	@	Wofford	Southern	W	72	66	OT	3	1	W 2	Benjamin Johnson Arena	wofford	air-force	2011
5	"Thu, Dec 2, 2010"	REG		Cal State Northridge	Big West	W	72	63		4	1	W 3	Clune Arena 	cal-state-northridge	air-force	2011
6	"Sun, Dec 5, 2010"	REG		Evansville	MVC	W	57	56		5	1	W 4	Clune Arena 	evansville	air-force	2011
7	"Wed, Dec 8, 2010"	REG	@	Wright State	Horizon	L	61	76		5	2	L 1	Ervin J. Nutter Center	wright-state	air-force	2011
8	"Sat, Dec 11, 2010"	REG		North Carolina Central	Ind	W	73	56		6	2	W 1	Clune Arena 	north-carolina-central	air-force	2011
9	"Sat, Dec 18, 2010"	REG		Arkansas-Pine Bluff	SWAC	W	63	52		7	2	W 2	Clune Arena 	arkansas-pine-bluff	air-force	2011
10	"Wed, Dec 22, 2010"	REG	@	Northern Arizona	Big Sky	L	63	74		7	3	L 1	Rolle Activity Center	northern-arizona	air-force	2011
11	"Tue, Dec 28, 2010"	REG	N	Sam Houston State	Southland	W	76	65		8	3	W 1		sam-houston-state	air-force	2011
12	"Wed, Dec 29, 2010"	REG	@	Texas-El Paso	CUSA	L	54	71		8	4	L 1	Don Haskins Center	texas-el-paso	air-force	2011
13	"Sun, Jan 2, 2011"	REG		Florida A&M	MEAC	W	81	48		9	4	W 1	Clune Arena 	florida-am	air-force	2011
14	"Wed, Jan 5, 2011"	REG		Utah	MWC	W	77	69		10	4	W 2	Clune Arena 	utah	air-force	2011
15	"Sat, Jan 8, 2011"	REG	@	Brigham YoungÂ (15)	MWC	L	66	76		10	5	L 1	Marriott Center	brigham-young	air-force	2011
16	"Sat, Jan 15, 2011"	REG		Nevada-Las Vegas	MWC	L	52	64		10	6	L 2	Clune Arena 	nevada-las-vegas	air-force	2011
17	"Wed, Jan 19, 2011"	REG	@	San Diego StateÂ (6)	MWC	L	55	68		10	7	L 3	Viejas Arena	san-diego-state	air-force	2011
18	"Sat, Jan 22, 2011"	REG		Wyoming	MWC	W	72	51		11	7	W 1	Clune Arena 	wyoming	air-force	2011
19	"Wed, Jan 26, 2011"	REG	@	Colorado State	MWC	L	66	69		11	8	L 1	Moby Arena	colorado-state	air-force	2011
20	"Sat, Jan 29, 2011"	REG	@	Texas Christian	MWC	W	66	65	OT	12	8	W 1	Daniel-Meyer Coliseum	texas-christian	air-force	2011
21	"Tue, Feb 1, 2011"	REG		New Mexico	MWC	L	61	75		12	9	L 1	Clune Arena 	new-mexico	air-force	2011
22	"Sat, Feb 5, 2011"	REG	@	Utah	MWC	W	54	49		13	9	W 1	Jon M. Huntsman Center	utah	air-force	2011
23	"Wed, Feb 9, 2011"	REG		Brigham YoungÂ (7)	MWC	L	52	90		13	10	L 1	Clune Arena 	brigham-young	air-force	2011
24	"Tue, Feb 15, 2011"	REG	@	Nevada-Las Vegas	MWC	L	42	49		13	11	L 2	Thomas & Mack Center	nevada-las-vegas	air-force	2011
25	"Sat, Feb 19, 2011"	REG		San Diego StateÂ (6)	MWC	L	58	70		13	12	L 3	Clune Arena 	san-diego-state	air-force	2011
26	"Wed, Feb 23, 2011"	REG	@	Wyoming	MWC	L	61	63		13	13	L 4	Arena-Auditorium	wyoming	air-force	2011
27	"Sat, Feb 26, 2011"	REG		Colorado State	MWC	W	74	57		14	13	W 1	Clune Arena 	colorado-state	air-force	2011
28	"Wed, Mar 2, 2011"	REG		Texas Christian	MWC	W	70	65		15	13	W 2	Clune Arena 	texas-christian	air-force	2011
29	"Sat, Mar 5, 2011"	REG	@	New Mexico	MWC	L	61	66		15	14	L 1	The Pit/Bob King Court	new-mexico	air-force	2011
