G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 9, 2007	REG		Dartmouth	Ivy	W	67	38		1	0	W 1	Clune Arena 	dartmouth	air-force	2008
2	Sat, Nov 10, 2007	REG		Northern Colorado	Big Sky	W	71	62		2	0	W 2	Clune Arena 	northern-colorado	air-force	2008
3	Wed, Nov 14, 2007	REG		Western State		W	73	49		3	0	W 3	Clune Arena 	NA	air-force	2008
4	Mon, Nov 19, 2007	REG		Radford	Big South	W	52	47	OT	4	0	W 4	Clune Arena 	radford	air-force	2008
5	Fri, Nov 23, 2007	REG	N	Mississippi Valley State	SWAC	W	58	40		5	0	W 5	Spokane Arena	mississippi-valley-state	air-force	2008
6	Sat, Nov 24, 2007	REG	N	Montana	Big Sky	L	57	59		5	1	L 1	Spokane Arena	montana	air-force	2008
7	Sun, Nov 25, 2007	REG	N	Washington State (9)	Pac-10	L	62	71		5	2	L 2	Spokane Arena	washington-state	air-force	2008
8	Thu, Nov 29, 2007	REG		Colorado	Big 12	L	50	60		5	3	L 3	Clune Arena 	colorado	air-force	2008
9	Tue, Dec 4, 2007	REG	@	Northern Illinois	MAC	L	52	63		5	4	L 4	Convocation Center	northern-illinois	air-force	2008
10	Sat, Dec 8, 2007	REG		Prairie View	SWAC	W	77	53		6	4	W 1	Clune Arena 	prairie-view	air-force	2008
11	Thu, Dec 13, 2007	REG		Norfolk State	MEAC	W	65	53		7	4	W 2	Clune Arena 	norfolk-state	air-force	2008
12	Sat, Dec 22, 2007	REG		Colorado Christian		W	75	61		8	4	W 3	Clune Arena 	NA	air-force	2008
13	Sun, Dec 30, 2007	REG	@	Wake Forest	ACC	L	67	78		8	5	L 1	Lawrence Joel Coliseum	wake-forest	air-force	2008
14	Sat, Jan 5, 2008	REG	@	Utah	MWC	L	36	58		8	6	L 2	Jon M. Huntsman Center	utah	air-force	2008
15	Sat, Jan 12, 2008	REG		Nevada-Las Vegas	MWC	W	65	53		9	6	W 1	Clune Arena 	nevada-las-vegas	air-force	2008
16	Wed, Jan 16, 2008	REG	@	Wyoming	MWC	W	64	62	OT	10	6	W 2	Arena-Auditorium	wyoming	air-force	2008
17	Sat, Jan 19, 2008	REG	@	New Mexico	MWC	L	44	59		10	7	L 1	The Pit/Bob King Court	new-mexico	air-force	2008
18	Tue, Jan 22, 2008	REG		Colorado State	MWC	W	75	59		11	7	W 1	Clune Arena 	colorado-state	air-force	2008
19	Wed, Jan 30, 2008	REG		Brigham Young	MWC	L	53	69		11	8	L 1	Clune Arena 	brigham-young	air-force	2008
20	Sat, Feb 2, 2008	REG	@	Texas Christian	MWC	W	56	46		12	8	W 1	Daniel-Meyer Coliseum	texas-christian	air-force	2008
21	Wed, Feb 6, 2008	REG	@	San Diego State	MWC	L	38	49		12	9	L 1	Viejas Arena	san-diego-state	air-force	2008
22	Sat, Feb 9, 2008	REG		Utah	MWC	L	59	67		12	10	L 2	Clune Arena 	utah	air-force	2008
23	Tue, Feb 12, 2008	REG	@	Nevada-Las Vegas	MWC	L	51	58		12	11	L 3	Thomas & Mack Center	nevada-las-vegas	air-force	2008
24	Sat, Feb 16, 2008	REG		Wyoming	MWC	W	72	66		13	11	W 1	Clune Arena 	wyoming	air-force	2008
25	Wed, Feb 20, 2008	REG		New Mexico	MWC	L	51	68		13	12	L 1	Clune Arena 	new-mexico	air-force	2008
26	Sat, Feb 23, 2008	REG	@	Colorado State	MWC	W	61	59		14	12	W 1	Moby Arena	colorado-state	air-force	2008
27	Sat, Mar 1, 2008	REG	@	Brigham Young	MWC	L	57	76		14	13	L 1	Marriott Center	brigham-young	air-force	2008
28	Wed, Mar 5, 2008	REG		Texas Christian	MWC	W	57	36		15	13	W 1	Clune Arena 	texas-christian	air-force	2008
29	Sat, Mar 8, 2008	REG		San Diego State	MWC	W	46	43		16	13	W 2	Clune Arena 	san-diego-state	air-force	2008
30	Thu, Mar 13, 2008	CTOURN	N	San Diego State	MWC	L	49	53		16	14	L 1	Thomas & Mack Center	san-diego-state	air-force	2008
1	Fri, Nov 16, 2007	REG	N	South Carolina Upstate	A-Sun	W	64	60		1	0	W 1	Carlson Center	south-carolina-upstate	akron	2008
2	Sat, Nov 17, 2007	REG	N	Portland State	Big Sky	L	63	66		1	1	L 1	Carlson Center	portland-state	akron	2008
3	Sun, Nov 18, 2007	REG	N	Tennessee State	OVC	W	74	72		2	1	W 1	Carlson Center	tennessee-state	akron	2008
4	Sat, Nov 24, 2007	REG		Binghamton	AEC	W	71	51		3	1	W 2	James A. Rhodes Arena	binghamton	akron	2008
5	Mon, Nov 26, 2007	REG		Temple	A-10	W	67	65		4	1	W 3	James A. Rhodes Arena	temple	akron	2008
