G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 10, 2006	REG		Arkansas-Pine Bluff	SWAC	W	81	45		1	0	W 1	Clune Arena 	arkansas-pine-bluff	air-force	2007
2	Tue, Nov 14, 2006	REG	N	Long Beach State	Big West	W	69	68		2	0	W 2	Maples Pavilion	long-beach-state	air-force	2007
3	Wed, Nov 15, 2006	REG	@	Stanford	Pac-10	W	79	45		3	0	W 3	Maples Pavilion	stanford	air-force	2007
4	Sat, Nov 18, 2006	REG	@	Colorado	Big 12	W	84	46		4	0	W 4	Coors Events/Conference Center	colorado	air-force	2007
5	Mon, Nov 20, 2006	REG	N	Duke (11)	ACC	L	56	71		4	1	L 1	Municipal Auditorium	duke	air-force	2007
6	Tue, Nov 21, 2006	REG	N	Texas Tech	Big 12	W	67	53		5	1	W 1	Municipal Auditorium	texas-tech	air-force	2007
7	Wed, Nov 22, 2006	REG		Radford	Big South	W	83	59		6	1	W 2	Clune Arena 	radford	air-force	2007
8	Wed, Nov 29, 2006	REG		Wake Forest	ACC	W	94	58		7	1	W 3	Clune Arena 	wake-forest	air-force	2007
9	Sat, Dec 2, 2006	REG		IPFW	Ind	W	78	66		8	1	W 4	Clune Arena 	ipfw	air-force	2007
10	Wed, Dec 6, 2006	REG		Texas-Rio Grande Valley	Ind	W	70	58		9	1	W 5	Clune Arena 	texas-pan-american	air-force	2007
11	Sat, Dec 9, 2006	REG		Colorado College		W	82	31		10	1	W 6	Clune Arena 	NA	air-force	2007
12	Wed, Dec 13, 2006	REG		Norfolk State	MEAC	W	70	47		11	1	W 7	Clune Arena 	norfolk-state	air-force	2007
13	Thu, Dec 28, 2006	REG	N	George Washington	A-10	W	66	52		12	1	W 8	Leavey Center	george-washington	air-force	2007
14	Fri, Dec 29, 2006	REG	@	Santa Clara	WCC	W	78	48		13	1	W 9	Leavey Center	santa-clara	air-force	2007
15	Wed, Jan 3, 2007	REG	@	Colorado State	MWC	W	81	75		14	1	W 10	Moby Arena	colorado-state	air-force	2007
16	Sat, Jan 6, 2007	REG		Nevada-Las Vegas	MWC	W	56	50		15	1	W 11	Clune Arena 	nevada-las-vegas	air-force	2007
17	Tue, Jan 9, 2007	REG		New Mexico	MWC	W	65	57		16	1	W 12	Clune Arena 	new-mexico	air-force	2007
18	Sat, Jan 13, 2007	REG	@	Wyoming	MWC	W	58	56		17	1	W 13	Arena-Auditorium	wyoming	air-force	2007
19	Tue, Jan 16, 2007	REG	@	Utah	MWC	L	79	85		17	2	L 1	Jon M. Huntsman Center	utah	air-force	2007
