G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sat, Nov 23, 2002	REG	@	Louisville	CUSA	L	47	65		0	1	L 1	Freedom Hall	louisville	air-force	2003
2	Tue, Nov 26, 2002	REG		Stetson	A-Sun	W	72	43		1	1	W 1	Clune Arena 	stetson	air-force	2003
3	Fri, Nov 29, 2002	REG	@	Arkansas State	Sun Belt	W	57	52		2	1	W 2	Convocation Center	arkansas-state	air-force	2003
4	Sun, Dec 1, 2002	REG	@	Tennessee Tech	OVC	L	47	60		2	2	L 1	Eblen Center	tennessee-tech	air-force	2003
5	Thu, Dec 5, 2002	REG		Texas-Rio Grande Valley	Ind	W	65	44		3	2	W 1	Clune Arena 	texas-pan-american	air-force	2003
6	Sun, Dec 8, 2002	REG	@	Georgia Southern	Southern	W	70	56		4	2	W 2	Hanner Fieldhouse	georgia-southern	air-force	2003
7	Wed, Dec 11, 2002	REG		Belmont	A-Sun	W	85	76		5	2	W 3	Clune Arena 	belmont	air-force	2003
8	Sun, Dec 22, 2002	REG	@	Oakland	Mid-Cont	L	44	61		5	3	L 1	Athletics Center O'rena	oakland	air-force	2003
9	Fri, Dec 27, 2002	REG	N	Alabama-Birmingham	CUSA	L	59	69		5	4	L 2	Don Haskins Center	alabama-birmingham	air-force	2003
10	Sat, Dec 28, 2002	REG	@	Texas-El Paso	WAC	W	63	45		6	4	W 1	Don Haskins Center	texas-el-paso	air-force	2003
11	Wed, Jan 1, 2003	REG		Georgia Southern	Southern	W	78	40		7	4	W 2	Clune Arena 	georgia-southern	air-force	2003
12	Sat, Jan 4, 2003	REG		Navy	Patriot	W	56	43		8	4	W 3	Clune Arena 	navy	air-force	2003
13	Mon, Jan 6, 2003	REG		Savannah State	Ind	W	56	33		9	4	W 4	Clune Arena 	savannah-state	air-force	2003
14	Sat, Jan 11, 2003	REG		San Diego State	MWC	L	48	63		9	5	L 1	Clune Arena 	san-diego-state	air-force	2003
15	Sat, Jan 18, 2003	REG	@	Colorado State	MWC	L	49	51		9	6	L 2	Moby Arena	colorado-state	air-force	2003
16	Mon, Jan 20, 2003	REG	@	Wyoming	MWC	L	44	46		9	7	L 3	Arena-Auditorium	wyoming	air-force	2003
17	Sat, Jan 25, 2003	REG		Nevada-Las Vegas	MWC	W	75	71		10	7	W 1	Clune Arena 	nevada-las-vegas	air-force	2003
18	Sat, Feb 1, 2003	REG	@	Utah	MWC	L	35	45		10	8	L 1	Jon M. Huntsman Center	utah	air-force	2003
19	Mon, Feb 3, 2003	REG	@	Brigham Young	MWC	L	33	65		10	9	L 2	Marriott Center	brigham-young	air-force	2003
20	Sat, Feb 8, 2003	REG	@	New Mexico	MWC	L	59	73		10	10	L 3	The Pit/Bob King Court	new-mexico	air-force	2003
21	Sat, Feb 15, 2003	REG		Colorado State	MWC	W	80	75		11	10	W 1	Clune Arena 	colorado-state	air-force	2003
22	Mon, Feb 17, 2003	REG		Wyoming	MWC	L	57	64		11	11	L 1	Clune Arena 	wyoming	air-force	2003
23	Sat, Feb 22, 2003	REG	@	San Diego State	MWC	L	53	67		11	12	L 2	Viejas Arena	san-diego-state	air-force	2003
24	Mon, Feb 24, 2003	REG	@	Nevada-Las Vegas	MWC	L	70	74		11	13	L 3	Thomas & Mack Center	nevada-las-vegas	air-force	2003
25	Sat, Mar 1, 2003	REG		Brigham Young	MWC	L	43	56		11	14	L 4	Clune Arena 	brigham-young	air-force	2003
26	Mon, Mar 3, 2003	REG		Utah (22)	MWC	L	52	57		11	15	L 5	Clune Arena 	utah	air-force	2003
27	Sat, Mar 8, 2003	REG		New Mexico	MWC	W	68	60		12	15	W 1	Clune Arena 	new-mexico	air-force	2003
28	Thu, Mar 13, 2003	CTOURN	N	Utah	MWC	L	38	42		12	16	L 1	Thomas & Mack Center	utah	air-force	2003
1	Sat, Nov 23, 2002	REG	@	Wright State	Horizon	L	75	78		0	1	L 1	Ervin J. Nutter Center	wright-state	akron	2003
2	Wed, Nov 27, 2002	REG		Capital		W	74	45		1	1	W 1	James A. Rhodes Arena	NA	akron	2003
3	Sat, Nov 30, 2002	REG	@	Oakland	Mid-Cont	W	88	84		2	1	W 2	Athletics Center O'rena	oakland	akron	2003
4	Wed, Dec 4, 2002	REG		Cleveland State	Horizon	L	65	68		2	2	L 1	James A. Rhodes Arena	cleveland-state	akron	2003
5	Sat, Dec 7, 2002	REG	@	James Madison	CAA	L	82	84		2	3	L 2	JMU Convocation Center	james-madison	akron	2003
6	Wed, Dec 11, 2002	REG		Iona	MAAC	W	85	78		3	3	W 1	James A. Rhodes Arena	iona	akron	2003
7	Sat, Dec 14, 2002	REG	@	Niagara	MAAC	L	71	77		3	4	L 1	Gallagher Center	niagara	akron	2003
8	Sat, Dec 21, 2002	REG		Radford	Big South	W	97	64		4	4	W 1	James A. Rhodes Arena	radford	akron	2003
9	Sat, Dec 28, 2002	REG		Hampton	MEAC	W	84	79		5	4	W 2	James A. Rhodes Arena	hampton	akron	2003
10	Sat, Jan 4, 2003	REG		Ball State	MAC	W	105	104	OT	6	4	W 3	James A. Rhodes Arena	ball-state	akron	2003
11	Wed, Jan 8, 2003	REG	@	Ohio	MAC	L	104	112	4OT	6	5	L 1	Convocation Center	ohio	akron	2003
12	Sat, Jan 11, 2003	REG		Buffalo	MAC	W	89	71		7	5	W 1	James A. Rhodes Arena	buffalo	akron	2003
13	Sat, Jan 18, 2003	REG	@	Bowling Green State	MAC	L	60	74		7	6	L 1	Anderson Arena	bowling-green-state	akron	2003
14	Mon, Jan 20, 2003	REG	@	Miami (OH)	MAC	L	59	74		7	7	L 2	Millett Hall	miami-oh	akron	2003
15	Thu, Jan 23, 2003	REG		Kent State	MAC	L	72	79		7	8	L 3	James A. Rhodes Arena	kent-state	akron	2003
