G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sat, Nov 13, 1999	REG	@	Saint Louis	CUSA	L	70	78		0	1	L 1	Scottrade Center	saint-louis	air-force	2000
2	Sun, Nov 14, 1999	REG	N	Northern Iowa	MVC	L	60	70		0	2	L 2	Scottrade Center	northern-iowa	air-force	2000
3	Sat, Nov 20, 1999	REG		Doane College		W	86	67		1	2	W 1	Clune Arena 	NA	air-force	2000
4	Sat, Nov 27, 1999	REG	@	Navy	Patriot	L	78	93		1	3	L 1	Alumni Hall	navy	air-force	2000
5	Thu, Dec 2, 1999	REG		Regis (CO)		W	74	51		2	3	W 1	Clune Arena 	NA	air-force	2000
6	Wed, Dec 8, 1999	REG		Long Beach State	Big West	L	76	77		2	4	L 1	Clune Arena 	long-beach-state	air-force	2000
7	Sat, Dec 11, 1999	REG		Portland State	Big Sky	L	71	72		2	5	L 2	Clune Arena 	portland-state	air-force	2000
8	Tue, Dec 14, 1999	REG		South Carolina State	MEAC	W	90	72		3	5	W 1	Clune Arena 	south-carolina-state	air-force	2000
9	Tue, Dec 28, 1999	REG	@	Central Connecticut State	NEC	L	63	83		3	6	L 1	Detrick Gymnasium	central-connecticut-state	air-force	2000
10	Thu, Dec 30, 1999	REG	@	Dartmouth	Ivy	W	70	62		4	6	W 1	Leede Arena	dartmouth	air-force	2000
11	Wed, Jan 5, 2000	REG	@	Wofford	Southern	L	50	51		4	7	L 1	Benjamin Johnson Arena	wofford	air-force	2000
12	Mon, Jan 10, 2000	REG		Denver	Sun Belt	L	72	84		4	8	L 2	Clune Arena 	denver	air-force	2000
13	Sat, Jan 15, 2000	REG		Nevada-Las Vegas	MWC	L	73	98		4	9	L 3	Clune Arena 	nevada-las-vegas	air-force	2000
14	Thu, Jan 20, 2000	REG	@	San Diego State	MWC	W	81	77	3OT	5	9	W 1	Viejas Arena	san-diego-state	air-force	2000
15	Sat, Jan 22, 2000	REG	@	New Mexico	MWC	L	72	89		5	10	L 1	The Pit/Bob King Court	new-mexico	air-force	2000
16	Thu, Jan 27, 2000	REG		Brigham Young	MWC	W	60	55		6	10	W 1	Clune Arena 	brigham-young	air-force	2000
17	Sat, Jan 29, 2000	REG		Utah (19)	MWC	L	63	64		6	11	L 1	Clune Arena 	utah	air-force	2000
18	Thu, Feb 3, 2000	REG	@	Colorado State	MWC	L	52	71		6	12	L 2	Moby Arena	colorado-state	air-force	2000
19	Sat, Feb 5, 2000	REG		Wyoming	MWC	W	82	79	OT	7	12	W 1	Clune Arena 	wyoming	air-force	2000
20	Thu, Feb 10, 2000	REG	@	Denver	Sun Belt	L	60	73		7	13	L 1	Magness Arena	denver	air-force	2000
21	Sat, Feb 12, 2000	REG		New Mexico	MWC	L	67	81		7	14	L 2	Clune Arena 	new-mexico	air-force	2000
22	Sat, Feb 19, 2000	REG		Colorado State	MWC	L	64	66		7	15	L 3	Clune Arena 	colorado-state	air-force	2000
23	Mon, Feb 21, 2000	REG	@	Wyoming	MWC	L	51	61		7	16	L 4	Arena-Auditorium	wyoming	air-force	2000
24	Thu, Feb 24, 2000	REG		San Diego State	MWC	W	63	55		8	16	W 1	Clune Arena 	san-diego-state	air-force	2000
25	Sat, Feb 26, 2000	REG		Nevada-Las Vegas	MWC	L	61	84		8	17	L 1	Clune Arena 	nevada-las-vegas	air-force	2000
26	Thu, Mar 2, 2000	REG	@	Brigham Young	MWC	L	52	73		8	18	L 2	Marriott Center	brigham-young	air-force	2000
27	Sat, Mar 4, 2000	REG	@	Utah	MWC	L	63	86		8	19	L 3	Jon M. Huntsman Center	utah	air-force	2000
28	Thu, Mar 9, 2000	CTOURN	N	Utah	MWC	L	65	74		8	20	L 4	Thomas & Mack Center	utah	air-force	2000
1	Sat, Nov 20, 1999	REG		Slippery Rock		W	105	45		1	0	W 1	James A. Rhodes Arena	NA	akron	2000
2	Tue, Nov 23, 1999	REG	@	Wyoming	MWC	L	68	84		1	1	L 1	Arena-Auditorium	wyoming	akron	2000
3	Sat, Nov 27, 1999	REG		Illinois State	MVC	W	89	79		2	1	W 1	James A. Rhodes Arena	illinois-state	akron	2000
4	Tue, Nov 30, 1999	REG		Western Kentucky	Sun Belt	W	75	62		3	1	W 2	James A. Rhodes Arena	western-kentucky	akron	2000
5	Sat, Dec 4, 1999	REG	@	Purdue (19)	Big Ten	L	66	75		3	2	L 1	Mackey Arena	purdue	akron	2000
6	Tue, Dec 7, 1999	REG	@	Cleveland State	MW Coll	W	79	72		4	2	W 1	Henry J. Goodman Arena	cleveland-state	akron	2000
7	Sat, Dec 11, 1999	REG		Northern Illinois	MAC	W	79	56		5	2	W 2	James A. Rhodes Arena	northern-illinois	akron	2000
8	Sat, Dec 18, 1999	REG	@	Rhode Island	A-10	W	64	62		6	2	W 3	Keaney Gymnasium	rhode-island	akron	2000
9	Tue, Dec 21, 1999	REG		Buffalo	MAC	W	89	67		7	2	W 4	James A. Rhodes Arena	buffalo	akron	2000
10	Mon, Dec 27, 1999	REG	@	Florida International	Sun Belt	L	74	76		7	3	L 1	US Century Bank Arena	florida-international	akron	2000
