G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
27	Sat, Feb 23, 2002	REG		South Florida	CUSA	W	83	78	2OT	12	15	W 1	Bartow Arena	south-florida	alabama-birmingham	2002
28	Tue, Feb 26, 2002	REG		Southern Mississippi	CUSA	W	66	56		13	15	W 2	Bartow Arena	southern-mississippi	alabama-birmingham	2002
29	Sat, Mar 2, 2002	REG	@	Houston	CUSA	L	72	76		13	16	L 1	Hofheinz Pavilion	houston	alabama-birmingham	2002
30	Wed, Mar 6, 2002	CTOURN	N	South Florida	CUSA	L	62	65		13	17	L 2	Riverfront Coliseum	south-florida	alabama-birmingham	2002
1	Thu, Nov 15, 2001	REG	@	Oregon	Pac-10	L	52	92		0	1	L 1	McArthur Court	oregon	alabama-state	2002
2	Fri, Nov 16, 2001	REG	N	Long Beach State	Big West	L	55	74		0	2	L 2	McArthur Court	long-beach-state	alabama-state	2002
3	Sat, Nov 17, 2001	REG	@	Western Michigan	MAC	L	43	63		0	3	L 3	University Arena	western-michigan	alabama-state	2002
4	Sat, Nov 24, 2001	REG		Mobile		L	61	65		0	4	L 4	ASU Acadome	NA	alabama-state	2002
5	Wed, Nov 28, 2001	REG		Florida A&M	MEAC	W	71	58		1	4	W 1	ASU Acadome	florida-am	alabama-state	2002
6	Fri, Nov 30, 2001	REG	@	Iowa (7)	Big Ten	L	64	73		1	5	L 1	Carver-Hawkeye Arena	iowa	alabama-state	2002
7	Sat, Dec 1, 2001	REG	N	La Salle	A-10	W	55	42		2	5	W 1	Carver-Hawkeye Arena	la-salle	alabama-state	2002
8	Wed, Dec 5, 2001	REG		Montevallo		W	80	70		3	5	W 2	ASU Acadome	NA	alabama-state	2002
9	Sat, Dec 8, 2001	REG	@	Morris Brown	Ind	W	80	67		4	5	W 3	John H. Lewis Gym	morris-brown	alabama-state	2002
10	Sat, Dec 15, 2001	REG	@	Grambling	SWAC	W	62	55		5	5	W 4	Tiger Memorial Gym	grambling	alabama-state	2002
11	Mon, Dec 17, 2001	REG	@	Jackson State	SWAC	W	71	63		6	5	W 5	Lee E. Williams Athletics and Assembly Center	jackson-state	alabama-state	2002
12	Sat, Dec 22, 2001	REG		Morris Brown	Ind	W	77	46		7	5	W 6	ASU Acadome	morris-brown	alabama-state	2002
13	Wed, Jan 2, 2002	REG	@	Birmingham-Southern		L	61	65	OT	7	6	L 1	Bill Battle Coliseum	NA	alabama-state	2002
14	Sat, Jan 5, 2002	REG		Mississippi Valley State	SWAC	W	57	52		8	6	W 1	ASU Acadome	mississippi-valley-state	alabama-state	2002
15	Mon, Jan 7, 2002	REG		Arkansas-Pine Bluff	SWAC	W	96	73		9	6	W 2	ASU Acadome	arkansas-pine-bluff	alabama-state	2002
16	Sat, Jan 12, 2002	REG		Alabama A&M	SWAC	W	64	63		10	6	W 3	ASU Acadome	alabama-am	alabama-state	2002
17	Sat, Jan 19, 2002	REG	@	Alcorn State	SWAC	L	61	75		10	7	L 1	Davey L. Whitney Complex	alcorn-state	alabama-state	2002
18	Mon, Jan 21, 2002	REG	@	Southern	SWAC	W	67	57		11	7	W 1	F. G. Clark Activity Center	southern	alabama-state	2002
19	Sat, Jan 26, 2002	REG		Texas Southern	SWAC	L	71	76		11	8	L 1	ASU Acadome	texas-southern	alabama-state	2002
20	Mon, Jan 28, 2002	REG		Prairie View	SWAC	W	78	73		12	8	W 1	ASU Acadome	prairie-view	alabama-state	2002
21	Sat, Feb 2, 2002	REG	@	Mississippi Valley State	SWAC	W	75	72		13	8	W 2	Harrison HPER Complex	mississippi-valley-state	alabama-state	2002
22	Mon, Feb 4, 2002	REG	@	Arkansas-Pine Bluff	SWAC	L	68	70		13	9	L 1	K.L. Johnson HPER Complex	arkansas-pine-bluff	alabama-state	2002
23	Sat, Feb 9, 2002	REG	@	Alabama A&M	SWAC	L	51	57		13	10	L 2	Elmore Health Science Building 	alabama-am	alabama-state	2002
24	Sat, Feb 16, 2002	REG		Alcorn State	SWAC	W	73	59		14	10	W 1	ASU Acadome	alcorn-state	alabama-state	2002
25	Mon, Feb 18, 2002	REG		Southern	SWAC	W	61	57		15	10	W 2	ASU Acadome	southern	alabama-state	2002
26	Sat, Feb 23, 2002	REG	@	Texas Southern	SWAC	L	49	64		15	11	L 1	Health & Physical Education Arena	texas-southern	alabama-state	2002
27	Mon, Feb 25, 2002	REG	@	Prairie View	SWAC	L	58	65		15	12	L 2	William J. Nicks Building	prairie-view	alabama-state	2002
28	Thu, Feb 28, 2002	REG		Grambling	SWAC	W	82	74		16	12	W 1	ASU Acadome	grambling	alabama-state	2002
29	Sat, Mar 2, 2002	REG		Jackson State	SWAC	W	61	60	OT	17	12	W 2	ASU Acadome	jackson-state	alabama-state	2002
30	Tue, Mar 5, 2002	CTOURN		Jackson State	SWAC	W	60	56		18	12	W 3	ASU Acadome	jackson-state	alabama-state	2002
31	Fri, Mar 8, 2002	CTOURN	N	Alabama A&M	SWAC	W	64	61		19	12	W 4	Fair Park Arena	alabama-am	alabama-state	2002
32	Sat, Mar 9, 2002	CTOURN	N	Alcorn State	SWAC	L	67	70		19	13	L 1	Fair Park Arena	alcorn-state	alabama-state	2002
1	Sat, Nov 17, 2001	REG		Lafayette	Patriot	L	72	80		0	1	L 1	SEFCU Arena	lafayette	albany-ny	2002
2	Tue, Nov 20, 2001	REG	@	Ohio State	Big Ten	L	62	87		0	2	L 2	Value City Arena	ohio-state	albany-ny	2002
3	Sat, Nov 24, 2001	REG	@	Quinnipiac	NEC	L	65	79		0	3	L 3	Burt Kahn Court-Athletic Center	quinnipiac	albany-ny	2002
4	Tue, Nov 27, 2001	REG	@	Siena	MAAC	L	48	60		0	4	L 4	Times Union Center 	siena	albany-ny	2002
5	Sun, Dec 2, 2001	REG		Syracuse (12)	Big East	L	65	91		0	5	L 5	SEFCU Arena	syracuse	albany-ny	2002
6	Wed, Dec 5, 2001	REG	@	Bucknell	Patriot	W	51	50		1	5	W 1	Davis Gym	bucknell	albany-ny	2002
7	Sat, Dec 8, 2001	REG	@	Yale	Ivy	L	61	73		1	6	L 1	John J. Lee Ampitheater	yale	albany-ny	2002
8	Tue, Dec 11, 2001	REG		Army	Patriot	L	60	68		1	7	L 2	SEFCU Arena	army	albany-ny	2002
9	Sun, Dec 23, 2001	REG	@	Robert Morris	NEC	W	61	58		2	7	W 1	Charles L. Sewall Center	robert-morris	albany-ny	2002
10	Mon, Dec 31, 2001	REG	@	Vermont	AEC	L	43	71		2	8	L 1	Roy L. Patrick Gymnasium	vermont	albany-ny	2002
11	Wed, Jan 2, 2002	REG	@	Maine	AEC	L	52	59		2	9	L 2	Alfond Arena	maine	albany-ny	2002
12	Mon, Jan 7, 2002	REG		Binghamton	AEC	L	61	69		2	10	L 3	SEFCU Arena	binghamton	albany-ny	2002
13	Sun, Jan 13, 2002	REG		Maine	AEC	L	66	73	OT	2	11	L 4	SEFCU Arena	maine	albany-ny	2002
14	Tue, Jan 15, 2002	REG		Columbia	Ivy	W	41	40		3	11	W 1	SEFCU Arena	columbia	albany-ny	2002
