G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Tue, Nov 13, 2001	REG	N	Yale	Ivy	W	68	62		1	0	W 1	Hearnes Center	yale	air-force	2002
2	Wed, Nov 14, 2001	REG	@	Missouri (8)	Big 12	L	58	86		1	1	L 1	Hearnes Center	missouri	air-force	2002
3	Sun, Nov 18, 2001	REG		Denver	Sun Belt	W	52	44		2	1	W 1	Clune Arena 	denver	air-force	2002
4	Sat, Nov 24, 2001	REG	@	Navy	Patriot	L	53	71		2	2	L 1	Alumni Hall	navy	air-force	2002
5	Fri, Nov 30, 2001	REG	N	Montana State	Big Sky	W	70	65		3	2	W 1	Selland Arena 	montana-state	air-force	2002
6	Sat, Dec 1, 2001	REG	@	Fresno State (24)	WAC	L	52	68		3	3	L 1	Selland Arena 	fresno-state	air-force	2002
7	Wed, Dec 5, 2001	REG		Arkansas State	Sun Belt	W	67	63	OT	4	3	W 1	Clune Arena 	arkansas-state	air-force	2002
8	Sat, Dec 8, 2001	REG		Oakland	Mid-Cont	L	53	57		4	4	L 1	Clune Arena 	oakland	air-force	2002
9	Wed, Dec 12, 2001	REG	@	Denver	Sun Belt	L	53	63		4	5	L 2	Magness Arena	denver	air-force	2002
10	Sat, Dec 22, 2001	REG	@	Liberty	Big South	W	66	54		5	5	W 1	Vines Center	liberty	air-force	2002
11	Sat, Dec 29, 2001	REG		Tennessee Tech	OVC	L	44	64		5	6	L 1	Clune Arena 	tennessee-tech	air-force	2002
12	Wed, Jan 2, 2002	REG	@	Northern Arizona	Big Sky	W	57	56		6	6	W 1	Walkup Skydome	northern-arizona	air-force	2002
13	Mon, Jan 7, 2002	REG		Nevada-Las Vegas	MWC	L	54	66		6	7	L 1	Clune Arena 	nevada-las-vegas	air-force	2002
14	Thu, Jan 10, 2002	REG	@	Texas-Rio Grande Valley	Ind	L	52	58	OT	6	8	L 2	UTPA Fieldhouse	texas-pan-american	air-force	2002
15	Mon, Jan 14, 2002	REG	@	New Mexico	MWC	L	47	50		6	9	L 3	The Pit/Bob King Court	new-mexico	air-force	2002
16	Sat, Jan 19, 2002	REG		Utah	MWC	L	57	63	OT	6	10	L 4	Clune Arena 	utah	air-force	2002
17	Mon, Jan 21, 2002	REG		Brigham Young	MWC	W	74	64		7	10	W 1	Clune Arena 	brigham-young	air-force	2002
18	Sat, Jan 26, 2002	REG	@	Colorado State	MWC	L	57	60		7	11	L 1	Moby Arena	colorado-state	air-force	2002
19	Mon, Jan 28, 2002	REG	@	Wyoming	MWC	L	76	83	4OT	7	12	L 2	Arena-Auditorium	wyoming	air-force	2002
20	Mon, Feb 4, 2002	REG		San Diego State	MWC	W	67	54		8	12	W 1	Clune Arena 	san-diego-state	air-force	2002
21	Sat, Feb 9, 2002	REG		New Mexico	MWC	W	47	44		9	12	W 2	Clune Arena 	new-mexico	air-force	2002
22	Sat, Feb 16, 2002	REG	@	Utah	MWC	L	51	59		9	13	L 1	Jon M. Huntsman Center	utah	air-force	2002
23	Mon, Feb 18, 2002	REG	@	Brigham Young	MWC	L	51	67		9	14	L 2	Marriott Center	brigham-young	air-force	2002
24	Sat, Feb 23, 2002	REG		Wyoming	MWC	L	48	51		9	15	L 3	Clune Arena 	wyoming	air-force	2002
25	Mon, Feb 25, 2002	REG		Colorado State	MWC	L	51	59		9	16	L 4	Clune Arena 	colorado-state	air-force	2002
26	Thu, Feb 28, 2002	REG	@	Nevada-Las Vegas	MWC	L	66	73		9	17	L 5	Thomas & Mack Center	nevada-las-vegas	air-force	2002
27	Sat, Mar 2, 2002	REG	@	San Diego State	MWC	L	47	49		9	18	L 6	Viejas Arena	san-diego-state	air-force	2002
28	Thu, Mar 7, 2002	CTOURN	N	Wyoming	MWC	L	67	69	OT	9	19	L 7	Thomas & Mack Center	wyoming	air-force	2002
1	Sat, Nov 17, 2001	REG	@	Iona	MAAC	W	67	64		1	0	W 1	Hynes Athletics Center	iona	akron	2002
2	Fri, Nov 23, 2001	REG	N	Monmouth	NEC	L	61	64		1	1	L 1	Neal S. Blaisdell Center	monmouth	akron	2002
3	Sat, Nov 24, 2001	REG	N	Hampton	MEAC	L	59	67		1	2	L 2	Neal S. Blaisdell Center	hampton	akron	2002
4	Sun, Nov 25, 2001	REG	N	Liberty	Big South	W	90	56		2	2	W 1	Neal S. Blaisdell Center	liberty	akron	2002
5	Fri, Nov 30, 2001	REG	N	Oakland	Mid-Cont	L	64	71		2	3	L 1	Mackey Arena	oakland	akron	2002
6	Sun, Dec 2, 2001	REG	N	William & Mary	CAA	L	62	74		2	4	L 2	Mackey Arena	william-mary	akron	2002
7	Wed, Dec 5, 2001	REG		Western Kentucky (25)	Sun Belt	L	68	78		2	5	L 3	James A. Rhodes Arena	western-kentucky	akron	2002
8	Sat, Dec 8, 2001	REG	@	Buffalo	MAC	L	60	79		2	6	L 4	Alumni Arena	buffalo	akron	2002
9	Sat, Dec 15, 2001	REG	@	Cleveland State	Horizon	L	66	79		2	7	L 5	Henry J. Goodman Arena	cleveland-state	akron	2002
10	Sat, Dec 22, 2001	REG		Mount Union		W	76	70		3	7	W 1	James A. Rhodes Arena	NA	akron	2002
11	Sat, Dec 29, 2001	REG	N	Cincinnati (17)	CUSA	L	57	73		3	8	L 1	Quicken Loans Arena	cincinnati	akron	2002
12	Wed, Jan 2, 2002	REG		Niagara	MAAC	W	80	79		4	8	W 1	James A. Rhodes Arena	niagara	akron	2002
13	Sat, Jan 5, 2002	REG		Ohio	MAC	L	57	68		4	9	L 1	James A. Rhodes Arena	ohio	akron	2002
14	Mon, Jan 7, 2002	REG		Eastern Michigan	MAC	L	60	61		4	10	L 2	James A. Rhodes Arena	eastern-michigan	akron	2002
15	Sat, Jan 12, 2002	REG	@	Miami (OH)	MAC	L	48	50		4	11	L 3	Millett Hall	miami-oh	akron	2002
16	Wed, Jan 16, 2002	REG		Kent State	MAC	L	54	78		4	12	L 4	James A. Rhodes Arena	kent-state	akron	2002
17	Sat, Jan 19, 2002	REG	@	Ball State	MAC	L	66	78		4	13	L 5	Worthen Arena	ball-state	akron	2002
18	Wed, Jan 23, 2002	REG		Bowling Green State	MAC	W	87	86	OT	5	13	W 1	James A. Rhodes Arena	bowling-green-state	akron	2002
19	Sat, Jan 26, 2002	REG		Central Michigan	MAC	W	83	73		6	13	W 2	James A. Rhodes Arena	central-michigan	akron	2002
20	Wed, Jan 30, 2002	REG	@	Ohio	MAC	W	74	73		7	13	W 3	Athens YMCA	ohio	akron	2002
21	Sat, Feb 2, 2002	REG		Buffalo	MAC	W	89	81		8	13	W 4	James A. Rhodes Arena	buffalo	akron	2002
22	Tue, Feb 5, 2002	REG	@	Marshall	MAC	L	63	78		8	14	L 1	Henderson Center	marshall	akron	2002
23	Mon, Feb 11, 2002	REG		Western Michigan	MAC	L	89	94	OT	8	15	L 2	James A. Rhodes Arena	western-michigan	akron	2002
24	Wed, Feb 13, 2002	REG	@	Toledo	MAC	L	72	77		8	16	L 3	John F. Savage Hall	toledo	akron	2002
25	Sat, Feb 16, 2002	REG	@	Eastern Michigan	MAC	L	76	83		8	17	L 4	Convocation Center	eastern-michigan	akron	2002
26	Wed, Feb 20, 2002	REG		Northern Illinois	MAC	W	88	80		9	17	W 1	James A. Rhodes Arena	northern-illinois	akron	2002
27	Sat, Feb 23, 2002	REG	@	Bowling Green State	MAC	L	46	76		9	18	L 1	Anderson Arena	bowling-green-state	akron	2002
28	Mon, Feb 25, 2002	REG	@	Kent State	MAC	L	57	67		9	19	L 2	Memorial Athletic & Convocation Center	kent-state	akron	2002
29	Sat, Mar 2, 2002	REG		Marshall	MAC	L	87	104		9	20	L 3	James A. Rhodes Arena	marshall	akron	2002
30	Mon, Mar 4, 2002	CTOURN	@	Western Michigan	MAC	W	90	83		10	20	W 1	University Arena	western-michigan	akron	2002
31	Thu, Mar 7, 2002	CTOURN	N	Bowling Green State	MAC	L	58	60		10	21	L 1	Quicken Loans Arena	bowling-green-state	akron	2002
1	Tue, Nov 13, 2001	REG		Mississippi Valley State	SWAC	W	107	67		1	0	W 1	Coleman Coliseum 	mississippi-valley-state	alabama	2002
2	Wed, Nov 14, 2001	REG		Samford	A-Sun	W	83	51		2	0	W 2	Coleman Coliseum 	samford	alabama	2002
3	Tue, Nov 20, 2001	REG	N	Missouri (5)	Big 12	L	68	75		2	1	L 1	Kemper Arena	missouri	alabama	2002
4	Wed, Nov 21, 2001	REG	N	Memphis (12)	CUSA	W	81	70		3	1	W 1	Kemper Arena	memphis	alabama	2002
5	Mon, Nov 26, 2001	REG		Utah	MWC	W	76	61		4	1	W 2	Coleman Coliseum 	utah	alabama	2002
6	Thu, Nov 29, 2001	REG		McNeese State	Southland	W	90	61		5	1	W 3	Coleman Coliseum 	mcneese-state	alabama	2002
7	Mon, Dec 3, 2001	REG		Chattanooga	Southern	W	74	68		6	1	W 4	Coleman Coliseum 	chattanooga	alabama	2002
8	Sat, Dec 8, 2001	REG	N	UCLA (20)	Pac-10	L	57	79		6	2	L 1	Honda Center	ucla	alabama	2002
9	Fri, Dec 14, 2001	REG		Jacksonville State	A-Sun	W	99	57		7	2	W 1	Coleman Coliseum 	jacksonville-state	alabama	2002
10	Tue, Dec 18, 2001	REG	N	Temple	A-10	W	70	67		8	2	W 2	Izod Center	temple	alabama	2002
11	Fri, Dec 21, 2001	REG		Alabama A&M	SWAC	W	90	54		9	2	W 3	Coleman Coliseum 	alabama-am	alabama	2002
12	Thu, Dec 27, 2001	REG	N	Notre Dame	Big East	W	79	76		10	2	W 4	New Orleans Arena	notre-dame	alabama	2002
13	Mon, Dec 31, 2001	REG		Florida A&M	MEAC	W	76	52		11	2	W 5	Coleman Coliseum 	florida-am	alabama	2002
14	Wed, Jan 2, 2002	REG		Bethune-Cookman	MEAC	W	93	46		12	2	W 6	Coleman Coliseum 	bethune-cookman	alabama	2002
15	Sat, Jan 5, 2002	REG		Louisiana State	SEC	W	76	74		13	2	W 7	Coleman Coliseum 	louisiana-state	alabama	2002
16	Wed, Jan 9, 2002	REG		Vanderbilt	SEC	W	92	79		14	2	W 8	Coleman Coliseum 	vanderbilt	alabama	2002
17	Sat, Jan 12, 2002	REG	@	Auburn	SEC	L	56	59		14	3	L 1	Beard-Eaves-Memorial	auburn	alabama	2002
18	Wed, Jan 16, 2002	REG	@	Georgia (20)	SEC	W	77	72		15	3	W 1	Stegeman Coliseum	georgia	alabama	2002
19	Sat, Jan 19, 2002	REG		Mississippi State	SEC	W	85	73		16	3	W 2	Coleman Coliseum 	mississippi-state	alabama	2002
20	Sat, Jan 26, 2002	REG	@	Kentucky (8)	SEC	W	64	61		17	3	W 3	Rupp Arena	kentucky	alabama	2002
21	Wed, Jan 30, 2002	REG		Arkansas	SEC	W	109	94		18	3	W 4	Coleman Coliseum 	arkansas	alabama	2002
22	Sat, Feb 2, 2002	REG	@	Louisiana State	SEC	W	57	48		19	3	W 5	Maravich Assembly Center	louisiana-state	alabama	2002
23	Wed, Feb 6, 2002	REG		Mississippi	SEC	W	79	59		20	3	W 6	Coleman Coliseum 	mississippi	alabama	2002
24	Sat, Feb 9, 2002	REG	@	Mississippi State	SEC	L	62	76		20	4	L 1	Humphrey Coliseum	mississippi-state	alabama	2002
25	Wed, Feb 13, 2002	REG	@	South Carolina	SEC	W	52	51		21	4	W 1	Carolina Coliseum	south-carolina	alabama	2002
26	Sat, Feb 16, 2002	REG		Tennessee	SEC	W	95	82		22	4	W 2	Coleman Coliseum 	tennessee	alabama	2002
27	Wed, Feb 20, 2002	REG	@	Arkansas	SEC	L	59	67		22	5	L 1	Bud Walton Arena	arkansas	alabama	2002
28	Sat, Feb 23, 2002	REG		Florida (8)	SEC	W	65	64		23	5	W 1	Coleman Coliseum 	florida	alabama	2002
29	Wed, Feb 27, 2002	REG		Auburn	SEC	W	73	68		24	5	W 2	Coleman Coliseum 	auburn	alabama	2002
30	Sun, Mar 3, 2002	REG	@	Mississippi	SEC	L	56	84		24	6	L 1	C.M. Tad Smith Coliseum	mississippi	alabama	2002
31	Fri, Mar 8, 2002	CTOURN	N	Tennessee	SEC	W	91	72		25	6	W 1	Georgia Dome	tennessee	alabama	2002
32	Sat, Mar 9, 2002	CTOURN	N	South Carolina	SEC	W	65	57		26	6	W 2	Georgia Dome	south-carolina	alabama	2002
33	Sun, Mar 10, 2002	CTOURN	N	Mississippi State	SEC	L	58	61		26	7	L 1	Georgia Dome	mississippi-state	alabama	2002
34	Thu, Mar 14, 2002	NCAA	N	Florida Atlantic	A-Sun	W	86	78		27	7	W 1	BI-LO Center	florida-atlantic	alabama	2002
35	Sat, Mar 16, 2002	NCAA	N	Kent State	MAC	L	58	71		27	8	L 1	BI-LO Center	kent-state	alabama	2002
1	Sat, Nov 17, 2001	REG		Tuskegee		W	75	59		1	0	W 1	Elmore Health Science Building 	NA	alabama-am	2002
2	Sat, Nov 24, 2001	REG	@	Detroit Mercy	Horizon	L	75	98		1	1	L 1	Calihan Hall	detroit-mercy	alabama-am	2002
3	Wed, Nov 28, 2001	REG	@	Mississippi State	SEC	L	45	70		1	2	L 2	Humphrey Coliseum	mississippi-state	alabama-am	2002
4	Sat, Dec 1, 2001	REG		Athens State		W	77	63		2	2	W 1	Elmore Health Science Building 	NA	alabama-am	2002
5	Sat, Dec 15, 2001	REG	@	Jackson State	SWAC	W	90	80		3	2	W 2	Lee E. Williams Athletics and Assembly Center	jackson-state	alabama-am	2002
6	Mon, Dec 17, 2001	REG	@	Grambling	SWAC	L	88	89		3	3	L 1	Tiger Memorial Gym	grambling	alabama-am	2002
7	Fri, Dec 21, 2001	REG	@	Alabama (23)	SEC	L	54	90		3	4	L 2	Coleman Coliseum 	alabama	alabama-am	2002
8	Sat, Jan 5, 2002	REG		Arkansas-Pine Bluff	SWAC	W	89	66		4	4	W 1	Elmore Health Science Building 	arkansas-pine-bluff	alabama-am	2002
9	Mon, Jan 7, 2002	REG		Mississippi Valley State	SWAC	L	65	81		4	5	L 1	Elmore Health Science Building 	mississippi-valley-state	alabama-am	2002
10	Sat, Jan 12, 2002	REG	@	Alabama State	SWAC	L	63	64		4	6	L 2	ASU Acadome	alabama-state	alabama-am	2002
11	Mon, Jan 14, 2002	REG	@	Savannah State		W	68	57		5	6	W 1	Tiger Arena	NA	alabama-am	2002
12	Sat, Jan 19, 2002	REG	@	Southern	SWAC	W	82	68		6	6	W 2	F. G. Clark Activity Center	southern	alabama-am	2002
13	Mon, Jan 21, 2002	REG	@	Alcorn State	SWAC	L	82	91		6	7	L 1	Davey L. Whitney Complex	alcorn-state	alabama-am	2002
14	Sat, Jan 26, 2002	REG		Prairie View	SWAC	W	92	72		7	7	W 1	Elmore Health Science Building 	prairie-view	alabama-am	2002
15	Mon, Jan 28, 2002	REG		Texas Southern	SWAC	W	73	56		8	7	W 2	Elmore Health Science Building 	texas-southern	alabama-am	2002
16	Wed, Jan 30, 2002	REG	@	Morris Brown	Ind	W	79	71		9	7	W 3	John H. Lewis Gym	morris-brown	alabama-am	2002
17	Sat, Feb 2, 2002	REG	@	Arkansas-Pine Bluff	SWAC	W	92	73		10	7	W 4	K.L. Johnson HPER Complex	arkansas-pine-bluff	alabama-am	2002
18	Mon, Feb 4, 2002	REG	@	Mississippi Valley State	SWAC	W	84	72		11	7	W 5	Harrison HPER Complex	mississippi-valley-state	alabama-am	2002
19	Sat, Feb 9, 2002	REG		Alabama State	SWAC	W	57	51		12	7	W 6	Elmore Health Science Building 	alabama-state	alabama-am	2002
20	Mon, Feb 11, 2002	REG		Savannah State		W	95	53		13	7	W 7	Elmore Health Science Building 	NA	alabama-am	2002
21	Sat, Feb 16, 2002	REG		Southern	SWAC	L	80	82		13	8	L 1	Elmore Health Science Building 	southern	alabama-am	2002
22	Mon, Feb 18, 2002	REG		Alcorn State	SWAC	W	91	86		14	8	W 1	Elmore Health Science Building 	alcorn-state	alabama-am	2002
23	Wed, Feb 20, 2002	REG		Morris Brown	Ind	W	88	63		15	8	W 2	Elmore Health Science Building 	morris-brown	alabama-am	2002
24	Sat, Feb 23, 2002	REG	@	Prairie View	SWAC	W	74	63		16	8	W 3	William J. Nicks Building	prairie-view	alabama-am	2002
25	Mon, Feb 25, 2002	REG	@	Texas Southern	SWAC	L	99	100		16	9	L 1	Health & Physical Education Arena	texas-southern	alabama-am	2002
26	Thu, Feb 28, 2002	REG		Jackson State	SWAC	W	105	83		17	9	W 1	Elmore Health Science Building 	jackson-state	alabama-am	2002
27	Sat, Mar 2, 2002	REG		Grambling	SWAC	W	81	76		18	9	W 2	Elmore Health Science Building 	grambling	alabama-am	2002
28	Tue, Mar 5, 2002	CTOURN		Prairie View	SWAC	W	114	82		19	9	W 3	Elmore Health Science Building 	prairie-view	alabama-am	2002
29	Fri, Mar 8, 2002	CTOURN	N	Alabama State	SWAC	L	61	64		19	10	L 1	Fair Park Arena	alabama-state	alabama-am	2002
1	Sat, Nov 17, 2001	REG	N	Eastern Michigan	MAC	W	79	66		1	0	W 1	Virgin Islands Sport & Fitness Center 	eastern-michigan	alabama-birmingham	2002
2	Mon, Nov 19, 2001	REG	N	Miami (FL)	Big East	L	79	81		1	1	L 1	Virgin Islands Sport & Fitness Center 	miami-fl	alabama-birmingham	2002
3	Tue, Nov 20, 2001	REG	N	La Salle	A-10	L	58	63		1	2	L 2	Virgin Islands Sport & Fitness Center 	la-salle	alabama-birmingham	2002
4	Sat, Nov 24, 2001	REG		Richmond	A-10	L	59	60		1	3	L 3	Bartow Arena	richmond	alabama-birmingham	2002
5	Tue, Nov 27, 2001	REG		Bradley	MVC	W	82	50		2	3	W 1	Bartow Arena	bradley	alabama-birmingham	2002
6	Sat, Dec 1, 2001	REG	@	Murray State	OVC	L	69	74		2	4	L 1	Regional Special Events Center	murray-state	alabama-birmingham	2002
7	Tue, Dec 4, 2001	REG		Alcorn State	SWAC	W	102	61		3	4	W 1	Bartow Arena	alcorn-state	alabama-birmingham	2002
8	Sat, Dec 8, 2001	REG		Nevada-Las Vegas	MWC	W	74	68		4	4	W 2	Bartow Arena	nevada-las-vegas	alabama-birmingham	2002
9	Sat, Dec 15, 2001	REG	@	Virginia Commonwealth	CAA	L	76	82		4	5	L 1	Alltel Pavilion at the Stuart C. Siegel Center	virginia-commonwealth	alabama-birmingham	2002
10	Wed, Dec 19, 2001	REG		Louisiana Tech	WAC	W	81	63		5	5	W 1	Bartow Arena	louisiana-tech	alabama-birmingham	2002
11	Sat, Dec 22, 2001	REG	@	La Salle	A-10	L	53	56		5	6	L 1	Tom Gola Arena	la-salle	alabama-birmingham	2002
12	Sat, Dec 29, 2001	REG		Jackson State	SWAC	W	88	68		6	6	W 1	Bartow Arena	jackson-state	alabama-birmingham	2002
13	Wed, Jan 2, 2002	REG		Florida A&M	MEAC	W	67	49		7	6	W 2	Bartow Arena	florida-am	alabama-birmingham	2002
14	Sat, Jan 5, 2002	REG		Louisville	CUSA	L	77	88		7	7	L 1	Bartow Arena	louisville	alabama-birmingham	2002
15	Tue, Jan 8, 2002	REG		East Carolina	CUSA	W	63	54		8	7	W 1	Bartow Arena	east-carolina	alabama-birmingham	2002
16	Sat, Jan 12, 2002	REG	@	Southern Mississippi	CUSA	L	36	50		8	8	L 1	Reed Green Coliseum	southern-mississippi	alabama-birmingham	2002
17	Tue, Jan 15, 2002	REG	@	Marquette	CUSA	L	59	67		8	9	L 2	Bradley Center	marquette	alabama-birmingham	2002
18	Sat, Jan 19, 2002	REG		Houston	CUSA	L	71	80		8	10	L 3	Bartow Arena	houston	alabama-birmingham	2002
19	Wed, Jan 23, 2002	REG	@	Memphis	CUSA	L	81	102		8	11	L 4	The Pyramid	memphis	alabama-birmingham	2002
20	Sat, Jan 26, 2002	REG		Tulane	CUSA	W	80	63		9	11	W 1	Bartow Arena	tulane	alabama-birmingham	2002
21	Tue, Jan 29, 2002	REG	@	Texas Christian	CUSA	W	77	71		10	11	W 2	Daniel-Meyer Coliseum	texas-christian	alabama-birmingham	2002
22	Tue, Feb 5, 2002	REG	@	South Florida	CUSA	L	65	81		10	12	L 1	Sun Dome	south-florida	alabama-birmingham	2002
23	Fri, Feb 8, 2002	REG		Memphis	CUSA	W	64	46		11	12	W 1	Bartow Arena	memphis	alabama-birmingham	2002
24	Tue, Feb 12, 2002	REG		Texas Christian	CUSA	L	68	78		11	13	L 1	Bartow Arena	texas-christian	alabama-birmingham	2002
25	Sat, Feb 16, 2002	REG	@	Tulane	CUSA	L	72	83		11	14	L 2	Avron B. Fogelman Arena	tulane	alabama-birmingham	2002
26	Tue, Feb 19, 2002	REG	@	Saint Louis	CUSA	L	47	53		11	15	L 3	Scottrade Center	saint-louis	alabama-birmingham	2002
