G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Thu, Nov 16, 2000	REG		Houston	CUSA	W	59	53		1	0	W 1	Lawrence Joel Coliseum	houston	air-force	2001
2	Fri, Nov 17, 2000	REG	@	Wake Forest (18)	ACC	L	44	84		1	1	L 1	Lawrence Joel Coliseum	wake-forest	air-force	2001
3	Tue, Nov 21, 2000	REG	@	Long Beach State	Big West	L	77	84		1	2	L 2	The Walter Pyramid	long-beach-state	air-force	2001
4	Fri, Nov 24, 2000	REG		Denver	Sun Belt	L	56	65		1	3	L 3	Clune Arena 	denver	air-force	2001
5	Tue, Nov 28, 2000	REG		Northern Arizona	Big Sky	L	58	63		1	4	L 4	Clune Arena 	northern-arizona	air-force	2001
6	Sat, Dec 2, 2000	REG		Navy	Patriot	L	62	64		1	5	L 5	Clune Arena 	navy	air-force	2001
7	Tue, Dec 5, 2000	REG		Lehigh	Patriot	L	56	58		1	6	L 6	Clune Arena 	lehigh	air-force	2001
8	Sat, Dec 9, 2000	REG	@	South Carolina State	MEAC	L	53	65		1	7	L 7	SHM Memorial Center	south-carolina-state	air-force	2001
9	Tue, Dec 12, 2000	REG		Central Connecticut State	NEC	W	63	56	OT	2	7	W 1	Clune Arena 	central-connecticut-state	air-force	2001
10	Fri, Dec 22, 2000	REG	@	Denver	Sun Belt	W	51	49		3	7	W 2	Magness Arena	denver	air-force	2001
11	Fri, Dec 29, 2000	REG	N	Cornell	Ivy	W	63	51		4	7	W 3	Dee Glen Smith Spectrum	cornell	air-force	2001
12	Sat, Dec 30, 2000	REG	@	Utah State	Big West	L	50	59		4	8	L 1	Dee Glen Smith Spectrum	utah-state	air-force	2001
13	Sat, Jan 6, 2001	REG		Liberty	Big South	W	82	57		5	8	W 1	Clune Arena 	liberty	air-force	2001
14	Mon, Jan 8, 2001	REG	@	Nevada-Las Vegas	MWC	L	54	65		5	9	L 1	Thomas & Mack Center	nevada-las-vegas	air-force	2001
15	Sat, Jan 13, 2001	REG	@	New Mexico	MWC	L	52	59		5	10	L 2	The Pit/Bob King Court	new-mexico	air-force	2001
16	Sat, Jan 20, 2001	REG	@	San Diego State	MWC	L	43	67		5	11	L 3	Viejas Arena	san-diego-state	air-force	2001
17	Wed, Jan 24, 2001	REG		Texas-Rio Grande Valley	Ind	L	60	66		5	12	L 4	Clune Arena 	texas-pan-american	air-force	2001
18	Sat, Jan 27, 2001	REG		Wyoming	MWC	L	56	71		5	13	L 5	Clune Arena 	wyoming	air-force	2001
19	Mon, Jan 29, 2001	REG		Colorado State	MWC	W	46	45		6	13	W 1	Clune Arena 	colorado-state	air-force	2001
20	Thu, Feb 1, 2001	REG	@	Brigham Young	MWC	L	45	62		6	14	L 1	Marriott Center	brigham-young	air-force	2001
21	Sat, Feb 3, 2001	REG	@	Utah	MWC	L	58	63		6	15	L 2	Jon M. Huntsman Center	utah	air-force	2001
22	Sat, Feb 10, 2001	REG		New Mexico	MWC	W	53	49		7	15	W 1	Clune Arena 	new-mexico	air-force	2001
23	Sat, Feb 17, 2001	REG		Nevada-Las Vegas	MWC	L	78	86		7	16	L 1	Clune Arena 	nevada-las-vegas	air-force	2001
24	Mon, Feb 19, 2001	REG		San Diego State	MWC	L	48	62		7	17	L 2	Clune Arena 	san-diego-state	air-force	2001
25	Sat, Feb 24, 2001	REG	@	Wyoming	MWC	L	70	82		7	18	L 3	Arena-Auditorium	wyoming	air-force	2001
26	Mon, Feb 26, 2001	REG	@	Colorado State	MWC	L	55	63		7	19	L 4	Moby Arena	colorado-state	air-force	2001
27	Thu, Mar 1, 2001	REG		Utah	MWC	W	71	60		8	19	W 1	Clune Arena 	utah	air-force	2001
28	Sat, Mar 3, 2001	REG		Brigham Young	MWC	L	50	51		8	20	L 1	Clune Arena 	brigham-young	air-force	2001
