G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
11	Sat, Dec 21, 2013	REG	@	UC-Davis	Big West	L	74	80		6	5	L 1	The Pavilion	s/2013-12-21-california-	air-force	2014
12	Wed, Jan 1, 2014	REG		Utah State	MWC	W	73	72		7	5	W 1	Clune Arena 	s/2014-01-01-air-	air-force	2014
13	Sat, Jan 4, 2014	REG	@	Nevada-Las Vegas	MWC	W	75	68		8	5	W 2	Thomas & Mack Center	s/2014-01-04-nevada-las-	air-force	2014
14	Wed, Jan 8, 2014	REG	@	Fresno State	MWC	L	65	71		8	6	L 1	Save Mart Center	s/2014-01-08-fresno-	air-force	2014
15	Sun, Jan 12, 2014	REG		San Diego State (13)	MWC	L	72	79		8	7	L 2	Clune Arena 	s/2014-01-12-air-	air-force	2014
16	Wed, Jan 15, 2014	REG		San Jose State	MWC	W	77	62		9	7	W 1	Clune Arena 	s/2014-01-15-air-	air-force	2014
17	Sat, Jan 18, 2014	REG	@	Colorado State	MWC	L	68	74		9	8	L 1	Moby Arena	s/2014-01-18-colorado-	air-force	2014
18	Wed, Jan 22, 2014	REG		Wyoming	MWC	L	59	66		9	9	L 2	Clune Arena 	s/2014-01-22-air-	air-force	2014
19	Wed, Jan 29, 2014	REG	@	Boise State	MWC	L	58	69		9	10	L 3	Taco Bell Arena	s/2014-01-29-boise-	air-force	2014
20	Sat, Feb 1, 2014	REG	@	Nevada	MWC	L	56	69	OT	9	11	L 4	Lawlor Events Center	s/2014-02-01-n	air-force	2014
21	Wed, Feb 5, 2014	REG		Fresno State	MWC	L	51	68		9	12	L 5	Clune Arena 	s/2014-02-05-air-	air-force	2014
22	Sat, Feb 8, 2014	REG		Colorado State	MWC	L	56	68		9	13	L 6	Clune Arena 	s/2014-02-08-air-	air-force	2014
23	Wed, Feb 12, 2014	REG	@	San Jose State	MWC	W	51	48		10	13	W 1	The Event Center	s/2014-02-12-san-jose-	air-force	2014
24	Sat, Feb 15, 2014	REG	@	San Diego State (5)	MWC	L	56	64		10	14	L 1	Viejas Arena	s/2014-02-15-san-diego-	air-force	2014
25	Sat, Feb 22, 2014	REG		Nevada	MWC	L	56	75		10	15	L 2	Clune Arena 	s/2014-02-22-air-	air-force	2014
26	Tue, Feb 25, 2014	REG	@	Wyoming	MWC	W	55	53		11	15	W 1	Arena-Auditorium	s/2014-02-25-wy	air-force	2014
27	Sat, Mar 1, 2014	REG		Nevada-Las Vegas	MWC	L	67	93		11	16	L 1	Clune Arena 	s/2014-03-01-air-	air-force	2014
