G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sun, Nov 13, 2005	REG	N	Northern Arizona	Big Sky	W	62	49		1	0	W 1	Bank of America Arena	northern-arizona	air-force	2006
2	Mon, Nov 14, 2005	REG	N	Miami (FL)	ACC	W	57	53		2	0	W 2	Bank of America Arena	miami-fl	air-force	2006
3	Tue, Nov 15, 2005	REG	@	Washington	Pac-10	L	74	85		2	1	L 1	Bank of America Arena	washington	air-force	2006
4	Sat, Nov 19, 2005	REG		Colorado-Colorado Springs		W	77	45		3	1	W 1	Clune Arena 	NA	air-force	2006
5	Wed, Nov 23, 2005	REG		Western State		W	66	44		4	1	W 2	Clune Arena 	NA	air-force	2006
6	Sun, Nov 27, 2005	REG	@	Navy	Patriot	W	64	55		5	1	W 3	Alumni Hall	navy	air-force	2006
7	Wed, Nov 30, 2005	REG		Arkansas-Pine Bluff	SWAC	W	63	44		6	1	W 4	Clune Arena 	arkansas-pine-bluff	air-force	2006
8	Sat, Dec 3, 2005	REG	@	Texas-Rio Grande Valley	Ind	W	81	68		7	1	W 5	UTPA Fieldhouse	texas-pan-american	air-force	2006
9	Thu, Dec 8, 2005	REG		Northern Colorado	Ind	W	73	48		8	1	W 6	Clune Arena 	northern-colorado	air-force	2006
10	Tue, Dec 13, 2005	REG		Saint Mary's (CA)	WCC	W	63	51		9	1	W 7	Clune Arena 	saint-marys-ca	air-force	2006
11	Fri, Dec 23, 2005	REG		Lamar	Southland	W	73	50		10	1	W 8	Clune Arena 	lamar	air-force	2006
12	Wed, Dec 28, 2005	REG		Georgia Tech	ACC	W	54	46		11	1	W 9	Clune Arena 	georgia-tech	air-force	2006
13	Sat, Dec 31, 2005	REG		IPFW	Ind	W	77	42		12	1	W 10	Clune Arena 	ipfw	air-force	2006
14	Thu, Jan 5, 2006	REG		Brigham Young	MWC	W	75	59		13	1	W 11	Clune Arena 	brigham-young	air-force	2006
15	Sat, Jan 7, 2006	REG		San Diego State	MWC	W	65	62		14	1	W 12	Clune Arena 	san-diego-state	air-force	2006
16	Wed, Jan 11, 2006	REG	@	Wyoming	MWC	L	50	55		14	2	L 1	Arena-Auditorium	wyoming	air-force	2006
17	Sat, Jan 14, 2006	REG		Texas Christian	MWC	W	75	49		15	2	W 1	Clune Arena 	texas-christian	air-force	2006
18	Thu, Jan 19, 2006	REG		Utah	MWC	W	66	44		16	2	W 2	Clune Arena 	utah	air-force	2006
19	Sat, Jan 21, 2006	REG	@	New Mexico	MWC	L	59	62		16	3	L 1	The Pit/Bob King Court	new-mexico	air-force	2006
20	Wed, Jan 25, 2006	REG	@	Nevada-Las Vegas	MWC	W	52	50		17	3	W 1	Thomas & Mack Center	nevada-las-vegas	air-force	2006
21	Wed, Feb 1, 2006	REG		Colorado State	MWC	W	71	56		18	3	W 2	Clune Arena 	colorado-state	air-force	2006
22	Sat, Feb 4, 2006	REG	@	Brigham Young	MWC	L	59	65		18	4	L 1	Marriott Center	brigham-young	air-force	2006
23	Wed, Feb 8, 2006	REG	@	San Diego State	MWC	L	51	61		18	5	L 2	Viejas Arena	san-diego-state	air-force	2006
24	Sat, Feb 11, 2006	REG		Wyoming	MWC	W	62	61		19	5	W 1	Clune Arena 	wyoming	air-force	2006
25	Wed, Feb 15, 2006	REG	@	Texas Christian	MWC	W	63	45		20	5	W 2	Daniel-Meyer Coliseum	texas-christian	air-force	2006
26	Sat, Feb 18, 2006	REG	@	Utah	MWC	W	52	51		21	5	W 3	Jon M. Huntsman Center	utah	air-force	2006
27	Wed, Feb 22, 2006	REG		New Mexico	MWC	W	51	46		22	5	W 4	Clune Arena 	new-mexico	air-force	2006
28	Sat, Feb 25, 2006	REG		Nevada-Las Vegas	MWC	W	68	55		23	5	W 5	Clune Arena 	nevada-las-vegas	air-force	2006
29	Sat, Mar 4, 2006	REG	@	Colorado State	MWC	W	63	59		24	5	W 6	Moby Arena	colorado-state	air-force	2006
30	Thu, Mar 9, 2006	CTOURN	N	Wyoming	MWC	L	55	57		24	6	L 1	The Pepsi Center	wyoming	air-force	2006
31	Thu, Mar 16, 2006	NCAA	N	Illinois (13)	Big Ten	L	69	78		24	7	L 2		illinois	air-force	2006
1	Sat, Nov 26, 2005	REG		Youngstown State	Horizon	W	67	62		1	0	W 1	James A. Rhodes Arena	youngstown-state	akron	2006
2	Wed, Nov 30, 2005	REG		Duquesne	A-10	W	79	61		2	0	W 2	James A. Rhodes Arena	duquesne	akron	2006
3	Sat, Dec 3, 2005	REG	@	University of California	Pac-10	L	75	89		2	1	L 1	Haas Pavilion	california	akron	2006
