G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 11, 2011	REG		Army	Patriot	W	87	71		1	0	W 1	Clune Arena 	army	air-force	2012
2	Sat, Nov 12, 2011	REG	N	Virginia Military Institute	Big South	W	75	65		2	0	W 2	Clune Arena 	virginia-military-institute	air-force	2012
3	Fri, Nov 18, 2011	REG		Western State		W	65	37		3	0	W 3	Clune Arena 	NA	air-force	2012
4	Wed, Nov 23, 2011	REG		Colorado	Pac-12	L	73	76	OT	3	1	L 1	Clune Arena 	colorado	air-force	2012
5	Sat, Dec 3, 2011	REG	@	Drake	MVC	L	60	62		3	2	L 2	Knapp Center	drake	air-force	2012
6	Wed, Dec 7, 2011	REG		Wright State	Horizon	W	55	34		4	2	W 1	Clune Arena 	wright-state	air-force	2012
7	Sat, Dec 10, 2011	REG		Arkansas-Pine Bluff	SWAC	W	63	51		5	2	W 2	Clune Arena 	arkansas-pine-bluff	air-force	2012
8	Sat, Dec 17, 2011	REG		Maryland-Eastern Shore	MEAC	W	64	60		6	2	W 3	Clune Arena 	maryland-eastern-shore	air-force	2012
9	Thu, Dec 22, 2011	REG	@	Gonzaga	WCC	L	60	70		6	3	L 1	McCarthey Athletic Center	gonzaga	air-force	2012
10	Thu, Dec 29, 2011	REG	N	Wagner	NEC	L	61	72		6	4	L 2	Leavey Center	wagner	air-force	2012
11	Fri, Dec 30, 2011	REG	N	Eastern Michigan	MAC	W	42	37		7	4	W 1		eastern-michigan	air-force	2012
12	Tue, Jan 3, 2012	REG		Johnson & Wales (CO)		W	83	53		8	4	W 2	Clune Arena 	NA	air-force	2012
13	Fri, Jan 6, 2012	REG		Chicago State	GWC	W	68	54		9	4	W 3	Clune Arena 	chicago-state	air-force	2012
14	Mon, Jan 9, 2012	REG		Texas-Rio Grande Valley	GWC	W	67	50		10	4	W 4	Clune Arena 	texas-pan-american	air-force	2012
15	Sat, Jan 14, 2012	REG	@	Boise State	MWC	W	74	59		11	4	W 5	Taco Bell Arena	boise-state	air-force	2012
16	Wed, Jan 18, 2012	REG		Wyoming	MWC	L	53	64		11	5	L 1	Clune Arena 	wyoming	air-force	2012
17	Sat, Jan 21, 2012	REG	@	San Diego State (16)	MWC	L	44	57		11	6	L 2	Viejas Arena	san-diego-state	air-force	2012
18	Wed, Jan 25, 2012	REG	@	Texas Christian	MWC	L	56	59		11	7	L 3	Daniel-Meyer Coliseum	texas-christian	air-force	2012
19	Sat, Jan 28, 2012	REG		Nevada-Las Vegas (12)	MWC	L	63	65	OT	11	8	L 4	Clune Arena 	nevada-las-vegas	air-force	2012
20	Tue, Jan 31, 2012	REG		New Mexico	MWC	L	42	81		11	9	L 5	Clune Arena 	new-mexico	air-force	2012
21	Sat, Feb 4, 2012	REG	@	Colorado State	MWC	L	49	67		11	10	L 6	Moby Arena	colorado-state	air-force	2012
22	Sat, Feb 11, 2012	REG		Boise State	MWC	L	61	72		11	11	L 7	Clune Arena 	boise-state	air-force	2012
23	Wed, Feb 15, 2012	REG	@	Wyoming	MWC	W	58	53		12	11	W 1	Arena-Auditorium	wyoming	air-force	2012
24	Sat, Feb 18, 2012	REG		San Diego State (13)	MWC	W	58	56		13	11	W 2	Clune Arena 	san-diego-state	air-force	2012
25	Wed, Feb 22, 2012	REG		Texas Christian	MWC	L	62	65		13	12	L 1	Clune Arena 	texas-christian	air-force	2012
26	Sat, Feb 25, 2012	REG	@	Nevada-Las Vegas (21)	MWC	L	58	68		13	13	L 2	Thomas & Mack Center	nevada-las-vegas	air-force	2012
27	Wed, Feb 29, 2012	REG	@	New Mexico	MWC	L	56	86		13	14	L 3	The Pit/Bob King Court	new-mexico	air-force	2012
28	Sat, Mar 3, 2012	REG		Colorado State	MWC	L	65	75		13	15	L 4	Clune Arena 	colorado-state	air-force	2012
29	Thu, Mar 8, 2012	CTOURN	N	New Mexico	MWC	L	64	79		13	16	L 5	Thomas & Mack Center	new-mexico	air-force	2012
1	Wed, Nov 9, 2011	REG	@	Mississippi State	SEC	W	68	58		1	0	W 1	Humphrey Coliseum	mississippi-state	akron	2012
