G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 14, 2008	REG		Western State		W	70	64		1	0	W 1	Clune Arena 	NA	air-force	2009
2	Sun, Nov 16, 2008	REG		Cal State Bakersfield	Ind	W	70	62		2	0	W 2	Clune Arena 	cal-state-bakersfield	air-force	2009
3	Sat, Nov 22, 2008	REG		Colorado-Colorado Springs		W	86	65		3	0	W 3	Clune Arena 	NA	air-force	2009
4	Sun, Nov 23, 2008	REG		Wofford	Southern	L	61	74		3	1	L 1	Clune Arena 	wofford	air-force	2009
5	Wed, Nov 26, 2008	REG	@	Stanford	Pac-10	L	57	76		3	2	L 2	Maples Pavilion	stanford	air-force	2009
6	Sun, Nov 30, 2008	REG		Norfolk State	MEAC	W	75	52		4	2	W 1	Clune Arena 	norfolk-state	air-force	2009
7	Wed, Dec 3, 2008	REG		Northern Illinois	MAC	W	67	55		5	2	W 2	Clune Arena 	northern-illinois	air-force	2009
8	Sat, Dec 6, 2008	REG	@	Northern Colorado	Big Sky	W	71	64		6	2	W 3	Butler Hancock Sports Pavilion	northern-colorado	air-force	2009
9	Sat, Dec 13, 2008	REG		Texas-Rio Grande Valley	Ind	W	71	50		7	2	W 4	Clune Arena 	texas-pan-american	air-force	2009
10	Mon, Dec 22, 2008	REG		Texas Southern	SWAC	W	65	41		8	2	W 5	Clune Arena 	texas-southern	air-force	2009
11	Sat, Dec 27, 2008	REG	N	Portland	WCC	L	42	43		8	3	L 1	Haas Pavilion	portland	air-force	2009
12	Sun, Dec 28, 2008	REG	N	Dartmouth	Ivy	W	63	41		9	3	W 1	Haas Pavilion	dartmouth	air-force	2009
13	Wed, Dec 31, 2008	REG		Stony Brook	AEC	L	64	67		9	4	L 1	Clune Arena 	stony-brook	air-force	2009
14	Sat, Jan 3, 2009	REG		San Diego State	MWC	L	44	61		9	5	L 2	Clune Arena 	san-diego-state	air-force	2009
15	Sat, Jan 10, 2009	REG	@	New Mexico	MWC	L	53	78		9	6	L 3	The Pit/Bob King Court	new-mexico	air-force	2009
16	Wed, Jan 14, 2009	REG		Utah	MWC	L	36	57		9	7	L 4	Clune Arena 	utah	air-force	2009
17	Sat, Jan 17, 2009	REG		Texas Christian	MWC	L	54	57		9	8	L 5	Clune Arena 	texas-christian	air-force	2009
18	Tue, Jan 20, 2009	REG	@	Colorado State	MWC	L	56	67		9	9	L 6	Moby Arena	colorado-state	air-force	2009
19	Tue, Jan 27, 2009	REG	@	Wyoming	MWC	L	59	72		9	10	L 7	Arena-Auditorium	wyoming	air-force	2009
20	Sat, Jan 31, 2009	REG		Nevada-Las Vegas	MWC	L	38	59		9	11	L 8	Clune Arena 	nevada-las-vegas	air-force	2009
