G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 13, 2009	REG		Western State		W	65	54		1	0	W 1	Clune Arena 	NA	air-force	2010
2	Fri, Nov 20, 2009	REG		Dickinson State (ND)		W	95	77		2	0	W 2	Clune Arena 	NA	air-force	2010
3	Sat, Nov 21, 2009	REG		Northern Colorado	Big Sky	L	46	70		2	1	L 1	Clune Arena 	northern-colorado	air-force	2010
4	Sat, Nov 28, 2009	REG		Charleston Southern	Big South	W	68	58		3	1	W 1	Clune Arena 	charleston-southern	air-force	2010
5	Wed, Dec 2, 2009	REG		North Carolina Central	Ind	W	61	49		4	1	W 2	Clune Arena 	north-carolina-central	air-force	2010
6	Sat, Dec 5, 2009	REG	@	Missouri State	MVC	L	48	58		4	2	L 1	JQH Arena	missouri-state	air-force	2010
7	Tue, Dec 8, 2009	REG		Prairie View	SWAC	W	75	41		5	2	W 1	Clune Arena 	prairie-view	air-force	2010
8	Sat, Dec 12, 2009	REG		Washington State	Pac-10	L	68	75		5	3	L 1	Friel Court	washington-state	air-force	2010
9	Sat, Dec 19, 2009	REG		Northern Arizona	Big Sky	L	52	60		5	4	L 2	Clune Arena 	northern-arizona	air-force	2010
10	Tue, Dec 22, 2009	REG		UC-Davis	Big West	W	69	57		6	4	W 1	Clune Arena 	california-davis	air-force	2010
11	Mon, Dec 28, 2009	REG	N	Niagara	MAAC	W	77	71		7	4	W 2	Don Haskins Center	niagara	air-force	2010
12	Tue, Dec 29, 2009	REG	@	Texas-El Paso	CUSA	L	47	58		7	5	L 1	Don Haskins Center	texas-el-paso	air-force	2010
13	Sat, Jan 2, 2010	REG		Texas-Rio Grande Valley	GWC	W	72	65		8	5	W 1	Clune Arena 	texas-pan-american	air-force	2010
14	Wed, Jan 6, 2010	REG	@	Texas Christian	MWC	L	50	59		8	6	L 1	Daniel-Meyer Coliseum	texas-christian	air-force	2010
15	Sat, Jan 9, 2010	REG	@	Colorado State	MWC	L	48	70		8	7	L 2	Moby Arena	colorado-state	air-force	2010
