G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sat, Nov 22, 2003	REG		Arkansas-Pine Bluff	SWAC	W	63	40		1	0	W 1	Clune Arena 	arkansas-pine-bluff	air-force	2004
2	Fri, Nov 28, 2003	REG	@	Navy	Patriot	W	86	46		2	0	W 2	Alumni Hall	navy	air-force	2004
3	Sun, Nov 30, 2003	REG	@	Belmont	A-Sun	L	38	46		2	1	L 1	Curb Event Center	belmont	air-force	2004
4	Sun, Dec 7, 2003	REG	@	Auburn	SEC	L	49	68		2	2	L 2	Beard-Eaves-Memorial	auburn	air-force	2004
5	Tue, Dec 9, 2003	REG	@	Texas A&M-Corpus Christi	Ind	W	56	53		3	2	W 1	Circle K Court	texas-am-corpus-christi	air-force	2004
6	Sat, Dec 20, 2003	REG		Charleston Southern	Big South	W	67	46		4	2	W 2	Clune Arena 	charleston-southern	air-force	2004
7	Sat, Dec 27, 2003	REG	N	Prairie View	SWAC	W	59	46		5	2	W 3	Harmon Gym	prairie-view	air-force	2004
8	Sun, Dec 28, 2003	REG	@	University of California	Pac-10	W	49	44		6	2	W 4	Haas Pavilion	california	air-force	2004
9	Fri, Jan 2, 2004	REG		Milwaukee	Horizon	W	71	49		7	2	W 5	Clune Arena 	milwaukee	air-force	2004
10	Tue, Jan 6, 2004	REG		Savannah State	Ind	W	72	35		8	2	W 6	Clune Arena 	savannah-state	air-force	2004
11	Fri, Jan 9, 2004	REG		IPFW	Ind	W	64	44		9	2	W 7	Clune Arena 	ipfw	air-force	2004
12	Mon, Jan 12, 2004	REG	@	Colorado State	MWC	W	65	57		10	2	W 8	Moby Arena	colorado-state	air-force	2004
13	Sat, Jan 17, 2004	REG	@	New Mexico	MWC	W	68	42		11	2	W 9	The Pit/Bob King Court	new-mexico	air-force	2004
14	Wed, Jan 21, 2004	REG		Texas A&M-Corpus Christi	Ind	W	61	37		12	2	W 10	Clune Arena 	texas-am-corpus-christi	air-force	2004
15	Sat, Jan 24, 2004	REG		Brigham Young	MWC	W	74	52		13	2	W 11	Clune Arena 	brigham-young	air-force	2004
16	Mon, Jan 26, 2004	REG		Utah	MWC	W	62	49		14	2	W 12	Clune Arena 	utah	air-force	2004
17	Sat, Jan 31, 2004	REG	@	San Diego State	MWC	W	57	43		15	2	W 13	Viejas Arena	san-diego-state	air-force	2004
18	Mon, Feb 2, 2004	REG	@	Nevada-Las Vegas	MWC	L	50	63		15	3	L 1	Thomas & Mack Center	nevada-las-vegas	air-force	2004
19	Sat, Feb 7, 2004	REG		Wyoming	MWC	W	83	71		16	3	W 1	Clune Arena 	wyoming	air-force	2004
20	Mon, Feb 9, 2004	REG		Colorado State	MWC	W	52	44		17	3	W 2	Clune Arena 	colorado-state	air-force	2004
21	Sat, Feb 14, 2004	REG		New Mexico	MWC	W	51	50		18	3	W 3	Clune Arena 	new-mexico	air-force	2004
22	Mon, Feb 16, 2004	REG	@	Texas-Rio Grande Valley	Ind	L	35	37		18	4	L 1	UTPA Fieldhouse	texas-pan-american	air-force	2004
23	Sat, Feb 21, 2004	REG	@	Utah	MWC	W	59	57		19	4	W 1	Jon M. Huntsman Center	utah	air-force	2004
24	Mon, Feb 23, 2004	REG	@	Brigham Young	MWC	L	61	67		19	5	L 1	Marriott Center	brigham-young	air-force	2004
25	Sat, Feb 28, 2004	REG		Nevada-Las Vegas	MWC	W	72	70		20	5	W 1	Clune Arena 	nevada-las-vegas	air-force	2004
26	Mon, Mar 1, 2004	REG		San Diego State	MWC	W	61	49		21	5	W 2	Clune Arena 	san-diego-state	air-force	2004
27	Sat, Mar 6, 2004	REG	@	Wyoming	MWC	W	52	47		22	5	W 3	Arena-Auditorium	wyoming	air-force	2004
28	Thu, Mar 11, 2004	CTOURN	N	Colorado State	MWC	L	48	60		22	6	L 1	The Pepsi Center	colorado-state	air-force	2004
29	Thu, Mar 18, 2004	NCAA	N	North Carolina (18)	ACC	L	52	63		22	7	L 2		s/2004-03-18-air-	air-force	2004
1	Sat, Nov 22, 2003	REG	@	Cincinnati (18)	CUSA	L	66	88		0	1	L 1	Fifth Third Arena	cincinnati	akron	2004
2	Sat, Nov 29, 2003	REG	@	Radford	Big South	W	73	63		1	1	W 1	Donald N. Dedmon Center	radford	akron	2004
3	Mon, Dec 1, 2003	REG	@	Hampton	MEAC	W	96	82		2	1	W 2	Convocation Center	hampton	akron	2004
4	Sat, Dec 6, 2003	REG		James Madison	CAA	W	78	70		3	1	W 3	James A. Rhodes Arena	james-madison	akron	2004
5	Sun, Dec 14, 2003	REG	@	North Carolina (7)	ACC	L	53	64		3	2	L 1	Smith Center	north-carolina	akron	2004
6	Wed, Dec 17, 2003	REG		Duquesne	A-10	W	64	61	OT	4	2	W 1	James A. Rhodes Arena	duquesne	akron	2004
7	Sat, Dec 20, 2003	REG	@	Cleveland State	Horizon	W	61	59		5	2	W 2	Henry J. Goodman Arena	cleveland-state	akron	2004
8	Tue, Dec 30, 2003	REG		Wright State	Horizon	W	85	67		6	2	W 3	James A. Rhodes Arena	wright-state	akron	2004
9	Sat, Jan 3, 2004	REG		Western Michigan	MAC	L	75	83		6	3	L 1	James A. Rhodes Arena	western-michigan	akron	2004
10	Wed, Jan 7, 2004	REG		Northern Illinois	MAC	W	73	66		7	3	W 1	James A. Rhodes Arena	northern-illinois	akron	2004
11	Sat, Jan 10, 2004	REG	@	Miami (OH)	MAC	L	60	68		7	4	L 1	Millett Hall	miami-oh	akron	2004
12	Wed, Jan 14, 2004	REG		Bowling Green State	MAC	L	72	77		7	5	L 2	James A. Rhodes Arena	bowling-green-state	akron	2004
13	Sat, Jan 17, 2004	REG	@	Toledo	MAC	L	79	87		7	6	L 3	John F. Savage Hall	toledo	akron	2004
14	Tue, Jan 20, 2004	REG		Ohio	MAC	W	84	76		8	6	W 1	James A. Rhodes Arena	ohio	akron	2004
15	Sat, Jan 24, 2004	REG		Central Michigan	MAC	W	75	62		9	6	W 2	James A. Rhodes Arena	central-michigan	akron	2004
16	Wed, Jan 28, 2004	REG	@	Buffalo	MAC	L	83	89		9	7	L 1	Alumni Arena	buffalo	akron	2004
17	Sat, Jan 31, 2004	REG	@	Kent State	MAC	L	66	77		9	8	L 2	Memorial Athletic & Convocation Center	kent-state	akron	2004
18	Mon, Feb 2, 2004	REG		Marshall	MAC	W	85	69		10	8	W 1	James A. Rhodes Arena	marshall	akron	2004
19	Wed, Feb 4, 2004	REG	@	Ball State	MAC	L	71	77	OT	10	9	L 1	Worthen Arena	ball-state	akron	2004
20	Sat, Feb 7, 2004	REG	@	Eastern Michigan	MAC	L	54	77		10	10	L 2	Convocation Center	eastern-michigan	akron	2004
21	Wed, Feb 11, 2004	REG		Miami (OH)	MAC	W	48	44		11	10	W 1	James A. Rhodes Arena	miami-oh	akron	2004
22	Sat, Feb 14, 2004	REG	@	Ohio	MAC	L	79	83		11	11	L 1	Convocation Center	ohio	akron	2004
23	Wed, Feb 18, 2004	REG	@	Central Michigan	MAC	W	87	66		12	11	W 1	Rose Arena	central-michigan	akron	2004
24	Sat, Feb 21, 2004	REG		Drake	MVC	L	78	82	OT	12	12	L 1	James A. Rhodes Arena	drake	akron	2004
25	Sun, Feb 29, 2004	REG		Kent State	MAC	W	64	61		13	12	W 1	James A. Rhodes Arena	kent-state	akron	2004
26	Wed, Mar 3, 2004	REG	@	Marshall	MAC	L	68	78		13	13	L 1	Henderson Center	marshall	akron	2004
27	Sat, Mar 6, 2004	REG		Buffalo	MAC	L	60	68		13	14	L 2	James A. Rhodes Arena	buffalo	akron	2004
28	Mon, Mar 8, 2004	CTOURN	@	Ball State	MAC	L	72	76		13	15	L 3	Worthen Arena	ball-state	akron	2004
1	Fri, Nov 14, 2003	REG	N	Pittsburgh (22)	Big East	L	62	71		0	1	L 1	Madison Square Garden (IV)	pittsburgh	alabama	2004
2	Fri, Nov 21, 2003	REG		Louisiana Tech	WAC	W	69	63		1	1	W 1	Coleman Coliseum 	louisiana-tech	alabama	2004
3	Tue, Nov 25, 2003	REG		Southeastern Louisiana	Southland	W	83	76		2	1	W 2	Coleman Coliseum 	southeastern-louisiana	alabama	2004
4	Sat, Nov 29, 2003	REG	@	Providence	Big East	L	71	76		2	2	L 1	Dunkin' Donuts Center	providence	alabama	2004
5	Wed, Dec 3, 2003	REG		Charlotte	CUSA	W	79	72		3	2	W 1	Coleman Coliseum 	charlotte	alabama	2004
6	Sat, Dec 6, 2003	REG		Austin Peay	OVC	W	65	47		4	2	W 2	Coleman Coliseum 	austin-peay	alabama	2004
7	Tue, Dec 16, 2003	REG		Chattanooga	Southern	W	76	72		5	2	W 3	Coleman Coliseum 	chattanooga	alabama	2004
8	Sat, Dec 20, 2003	REG	N	Oregon	Pac-10	W	87	86		6	2	W 4	Thomas & Mack Center	oregon	alabama	2004
9	Sat, Dec 27, 2003	REG		Mercer	A-Sun	W	101	44		7	2	W 5	Coleman Coliseum 	mercer	alabama	2004
10	Tue, Dec 30, 2003	REG		Wisconsin (19)	Big Ten	W	71	56		8	2	W 6	Coleman Coliseum 	wisconsin	alabama	2004
11	Sat, Jan 3, 2004	REG	@	Xavier	A-10	L	47	68		8	3	L 1	Cintas Center	xavier	alabama	2004
12	Sat, Jan 10, 2004	REG	@	Louisiana State	SEC	L	66	70		8	4	L 2	Maravich Assembly Center	louisiana-state	alabama	2004
13	Wed, Jan 14, 2004	REG		Arkansas	SEC	W	81	65		9	4	W 1	Coleman Coliseum 	arkansas	alabama	2004
14	Sat, Jan 17, 2004	REG		Auburn	SEC	W	69	46		10	4	W 2	Coleman Coliseum 	auburn	alabama	2004
15	Wed, Jan 21, 2004	REG	@	Georgia	SEC	W	45	42		11	4	W 3	Stegeman Coliseum	georgia	alabama	2004
16	Sat, Jan 24, 2004	REG	@	Mississippi	SEC	L	60	71		11	5	L 1	C.M. Tad Smith Coliseum	mississippi	alabama	2004
17	Tue, Jan 27, 2004	REG		Florida (22)	SEC	L	78	88		11	6	L 2	Coleman Coliseum 	florida	alabama	2004
18	Sat, Jan 31, 2004	REG		Louisiana State	SEC	L	54	60		11	7	L 3	Coleman Coliseum 	louisiana-state	alabama	2004
19	Wed, Feb 4, 2004	REG	@	South Carolina (25)	SEC	L	82	90	OT	11	8	L 4	The Colonial Life Arena	south-carolina	alabama	2004
20	Tue, Feb 10, 2004	REG	@	Kentucky (8)	SEC	L	55	66		11	9	L 5	Rupp Arena	kentucky	alabama	2004
21	Sat, Feb 14, 2004	REG		Tennessee	SEC	W	83	70		12	9	W 1	Coleman Coliseum 	tennessee	alabama	2004
22	Wed, Feb 18, 2004	REG		Vanderbilt	SEC	L	67	70		12	10	L 1	Coleman Coliseum 	vanderbilt	alabama	2004
23	Sat, Feb 21, 2004	REG	@	Mississippi State (4)	SEC	W	77	73		13	10	W 1	Humphrey Coliseum	mississippi-state	alabama	2004
24	Tue, Feb 24, 2004	REG	@	Auburn	SEC	W	72	71		14	10	W 2	Beard-Eaves-Memorial	auburn	alabama	2004
25	Sat, Feb 28, 2004	REG		Mississippi	SEC	W	84	69		15	10	W 3	Coleman Coliseum 	mississippi	alabama	2004
26	Wed, Mar 3, 2004	REG	@	Arkansas	SEC	W	72	68	OT	16	10	W 4	Bud Walton Arena	arkansas	alabama	2004
27	Sat, Mar 6, 2004	REG		Mississippi State (5)	SEC	L	81	82	OT	16	11	L 1	Coleman Coliseum 	mississippi-state	alabama	2004
28	Thu, Mar 11, 2004	CTOURN	N	Tennessee	SEC	W	84	49		17	11	W 1	Georgia Dome	tennessee	alabama	2004
29	Fri, Mar 12, 2004	CTOURN	N	Florida	SEC	L	73	75	OT	17	12	L 1	Georgia Dome	florida	alabama	2004
30	Thu, Mar 18, 2004	NCAA	N	Southern Illinois	MVC	W	65	64		18	12	W 1	KeyArena at Seattle Center 	s/2004-03-18-al	alabama	2004
31	Sat, Mar 20, 2004	NCAA	N	Stanford (1)	Pac-10	W	70	67		19	12	W 2		s/2004-03-20-al	alabama	2004
32	Thu, Mar 25, 2004	NCAA	N	Syracuse (20)	Big East	W	80	71		20	12	W 3		s/2004-03-25-al	alabama	2004
33	Sat, Mar 27, 2004	NCAA	N	Connecticut (7)	Big East	L	71	87		20	13	L 1		s/2004-03-27-al	alabama	2004
1	Fri, Nov 21, 2003	REG	@	Jacksonville State	OVC	L	68	74		0	1	L 1	Pete Mathews Coliseum	jacksonville-state	alabama-am	2004
2	Wed, Nov 26, 2003	REG	@	Texas A&M	Big 12	L	65	100		0	2	L 2	Reed Arena	texas-am	alabama-am	2004
3	Sat, Nov 29, 2003	REG		Eastern Kentucky	OVC	W	71	65		1	2	W 1	Elmore Health Science Building 	eastern-kentucky	alabama-am	2004
4	Sat, Dec 6, 2003	REG		Tuskegee		L	89	92		1	3	L 1	Elmore Health Science Building 	NA	alabama-am	2004
5	Fri, Dec 12, 2003	REG		Tennessee State	OVC	W	78	77		2	3	W 1	Elmore Health Science Building 	tennessee-state	alabama-am	2004
6	Wed, Dec 17, 2003	REG	@	Georgia Tech (5)	ACC	L	41	74		2	4	L 1	Alexander Memorial Coliseum	georgia-tech	alabama-am	2004
7	Sat, Dec 20, 2003	REG	@	Alabama-Birmingham	CUSA	L	68	81		2	5	L 2	Bartow Arena	alabama-birmingham	alabama-am	2004
8	Tue, Dec 30, 2003	REG	@	Eastern Kentucky	OVC	L	71	107		2	6	L 3	McBrayer Arena	eastern-kentucky	alabama-am	2004
9	Sat, Jan 3, 2004	REG	@	Jackson State	SWAC	L	79	86		2	7	L 4	Lee E. Williams Athletics and Assembly Center	jackson-state	alabama-am	2004
10	Mon, Jan 5, 2004	REG	@	Grambling	SWAC	L	60	86		2	8	L 5	Tiger Memorial Gym	grambling	alabama-am	2004
