G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sun, Nov 14, 2004	REG	N	Jacksonville State	OVC	W	59	42		1	0	W 1	Bradley Center	jacksonville-state	air-force	2005
2	Mon, Nov 15, 2004	REG	N	Mississippi	SEC	W	60	36		2	0	W 2	Bradley Center	mississippi	air-force	2005
3	Tue, Nov 16, 2004	REG	@	Marquette	CUSA	L	65	69		2	1	L 1	Bradley Center	marquette	air-force	2005
4	Sun, Nov 21, 2004	REG		Alcorn State	SWAC	W	67	41		3	1	W 1	Clune Arena 	alcorn-state	air-force	2005
5	Fri, Nov 26, 2004	REG	@	IPFW	Ind	W	58	40		4	1	W 2	Allen County War Memorial Coliseum	ipfw	air-force	2005
6	Sun, Nov 28, 2004	REG	@	Milwaukee	Horizon	L	45	50		4	2	L 1	U.S. Cellular Arena	milwaukee	air-force	2005
7	Thu, Dec 2, 2004	REG		Northern Colorado	Ind	W	63	54		5	2	W 1	Clune Arena 	northern-colorado	air-force	2005
8	Mon, Dec 6, 2004	REG		Colorado College		W	59	30		6	2	W 2	Clune Arena 	NA	air-force	2005
9	Sat, Dec 11, 2004	REG	@	Georgia Tech (3)	ACC	L	42	64		6	3	L 1	Alexander Memorial Coliseum	georgia-tech	air-force	2005
10	Mon, Dec 13, 2004	REG	@	Lamar	Southland	L	59	66	OT	6	4	L 2	Montagne Center	lamar	air-force	2005
11	Tue, Dec 28, 2004	REG	@	Iowa (16)	Big Ten	L	63	73		6	5	L 3	Carver-Hawkeye Arena	iowa	air-force	2005
12	Fri, Dec 31, 2004	REG		Rutgers	Big East	W	70	53		7	5	W 1	Clune Arena 	rutgers	air-force	2005
13	Mon, Jan 3, 2005	REG		Navy	Patriot	W	69	46		8	5	W 2	Clune Arena 	navy	air-force	2005
14	Wed, Jan 5, 2005	REG		Texas-Rio Grande Valley	Ind	W	84	51		9	5	W 3	Clune Arena 	texas-pan-american	air-force	2005
15	Sat, Jan 8, 2005	REG		Colorado State	MWC	W	58	53		10	5	W 4	Clune Arena 	colorado-state	air-force	2005
16	Tue, Jan 11, 2005	REG	@	Saint Mary's (CA)	WCC	L	58	59		10	6	L 1	McKeon Pavilion	saint-marys-ca	air-force	2005
17	Sat, Jan 15, 2005	REG		New Mexico	MWC	W	64	62		11	6	W 1	Clune Arena 	new-mexico	air-force	2005
18	Sat, Jan 22, 2005	REG	@	Brigham Young	MWC	W	52	49		12	6	W 2	Marriott Center	brigham-young	air-force	2005
19	Mon, Jan 24, 2005	REG	@	Utah	MWC	L	51	63		12	7	L 1	Jon M. Huntsman Center	utah	air-force	2005
