G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
11	Fri, Jan 2, 2015	7:00 pm/est		REG		Central Pennsylvania College		W	125	80		10	1	W 5		NA	central-michigan	2015
12	Tue, Jan 6, 2015	7:00 pm/est	ESPN3.com, BCSN	REG	@	Toledo	MAC	W	65	62		11	1	W 6		toledo	central-michigan	2015
13	Sat, Jan 10, 2015	4:30 pm/est	ESPN3.com	REG	@	Ball State	MAC	L	65	83		11	2	L 1		ball-state	central-michigan	2015
14	Wed, Jan 14, 2015	7:00 pm/est	ESPN3.com	REG		Miami (OH)	MAC	W	105	77		12	2	W 1		miami-oh	central-michigan	2015
15	Sat, Jan 17, 2015	7:00 pm/est		REG	@	Akron	MAC	L	76	82		12	3	L 1		akron	central-michigan	2015
16	Wed, Jan 21, 2015	7:00 pm/est	ESPN3.com	REG		Buffalo	MAC	W	84	73		13	3	W 1		buffalo	central-michigan	2015
17	Sat, Jan 24, 2015	4:30 pm/est	ESPN3.com	REG		Eastern Michigan	MAC	W	65	51		14	3	W 2		eastern-michigan	central-michigan	2015
18	Tue, Jan 27, 2015	7:00 pm/est		REG	@	Kent State	MAC	L	53	63		14	4	L 1		kent-state	central-michigan	2015
19	Sat, Jan 31, 2015	4:30 pm/est	ESPN3.com	REG		Ohio	MAC	W	74	69		15	4	W 1		ohio	central-michigan	2015
20	Wed, Feb 4, 2015	7:00 pm/est	ESPN3.com	REG		Bowling Green State	MAC	L	74	76	OT	15	5	L 1		bowling-green-state	central-michigan	2015
21	Sat, Feb 7, 2015	2:00 pm/est	ESPN3.com	REG		Western Michigan	MAC	W	70	65		16	5	W 1		western-michigan	central-michigan	2015
22	Tue, Feb 10, 2015	7:00 pm/est		REG	@	Ohio	MAC	W	68	57		17	5	W 2		ohio	central-michigan	2015
23	Sat, Feb 14, 2015	2:00 pm/est	ESPN3.com	REG	@	Buffalo	MAC	W	75	74		18	5	W 3		buffalo	central-michigan	2015
24	Wed, Feb 18, 2015	7:00 pm/est	ESPN3.com	REG		Northern Illinois	MAC	W	68	66		19	5	W 4		northern-illinois	central-michigan	2015
25	Sat, Feb 21, 2015	4:30 pm/est	ESPN3.com	REG		Ball State	MAC	W	83	60		20	5	W 5		ball-state	central-michigan	2015
26	Tue, Feb 24, 2015	7:00 pm/est		REG	@	Eastern Michigan	MAC	W	72	56		21	5	W 6		eastern-michigan	central-michigan	2015
27	Sat, Feb 28, 2015	8:00 pm/est	ESPN3.com	REG	@	Northern Illinois	MAC	L	55	73		21	6	L 1		northern-illinois	central-michigan	2015
28	Tue, Mar 3, 2015	7:00 pm/est	ESPN3.com	REG		Toledo	MAC	W	85	77		22	6	W 1		toledo	central-michigan	2015
29	Fri, Mar 6, 2015	7:00 pm/est		REG	@	Western Michigan	MAC	L	62	74		22	7	L 1		western-michigan	central-michigan	2015
30	Fri, Mar 13, 2015	6:30 pm/est	ESPN3.com	CTOURN	N	Toledo	MAC	W	75	66		23	7	W 1		toledo	central-michigan	2015
31	Sat, Mar 14, 2015	7:30 pm/est	ESPN 2	CTOURN	N	Buffalo	MAC	L	84	89		23	8	L 1		buffalo	central-michigan	2015
32	Tue, Mar 17, 2015	7:30 pm/est	ESPN3.com	NIT	@	Louisiana Tech	CUSA	L	79	89		23	9	L 2		louisiana-tech	central-michigan	2015
1	Fri, Nov 14, 2014	7:00 pm/est	SEC Network+	REG	@	Mississippi	SEC	W	66	65	OT	1	0	W 1		mississippi	charleston-southern	2015
2	Mon, Nov 17, 2014	7:30 pm/est		REG		Erskine		W	92	50		2	0	W 2		NA	charleston-southern	2015
3	Sat, Nov 22, 2014	5:30 pm/est		REG		Wright State	Horizon	L	79	86		2	1	L 1		wright-state	charleston-southern	2015
4	Tue, Nov 25, 2014	7:30 pm/est		REG		Central Arkansas	Southland	W	80	67		3	1	W 1		central-arkansas	charleston-southern	2015
5	Fri, Nov 28, 2014	6:00 pm/est	ESPN3.com	REG	@	Florida State	ACC	L	47	58		3	2	L 1		florida-state	charleston-southern	2015
6	Mon, Dec 1, 2014	7:30 pm/est	SoCon Digital Network	REG		Western Carolina	Southern	W	72	66		4	2	W 1		western-carolina	charleston-southern	2015
7	Thu, Dec 4, 2014	7:30 pm/est		REG		Columbia International		W	105	55		5	2	W 2		NA	charleston-southern	2015
8	Fri, Dec 12, 2014	7:00 pm/est	FSN-SW, S, WI, SD	REG	@	North Carolina State	ACC	L	50	86		5	3	L 1		north-carolina-state	charleston-southern	2015
9	Wed, Dec 17, 2014	7:00 pm/est		REG	@	Wofford	Southern	L	58	64		5	4	L 2		wofford	charleston-southern	2015
10	Mon, Dec 22, 2014	8:00 pm/est	Mountain West Network	REG	@	Colorado State (24)	MWC	L	54	75		5	5	L 3		colorado-state	charleston-southern	2015
11	Mon, Dec 29, 2014	6:00 pm/est		REG		Johnson University		W	81	47		6	5	W 1		NA	charleston-southern	2015
12	Sat, Jan 3, 2015	2:00 pm/est		REG	@	Coastal Carolina	Big South	L	74	83		6	6	L 1		coastal-carolina	charleston-southern	2015
13	Mon, Jan 5, 2015	7:30 pm/est		REG		Campbell	Big South	W	74	71		7	6	W 1		campbell	charleston-southern	2015
14	Thu, Jan 8, 2015	7:00 pm/est		REG	@	High Point	Big South	L	61	72		7	7	L 1		high-point	charleston-southern	2015
15	Sat, Jan 10, 2015	5:30 pm/est		REG		Longwood	Big South	W	68	54		8	7	W 1		longwood	charleston-southern	2015
16	Wed, Jan 14, 2015	7:30 pm/est		REG		Liberty	Big South	W	80	58		9	7	W 2		liberty	charleston-southern	2015
17	Sat, Jan 17, 2015	7:30 pm/est		REG	@	Presbyterian	Big South	W	73	65		10	7	W 3		presbyterian	charleston-southern	2015
18	Mon, Jan 19, 2015	7:30 pm/est		REG		North Carolina-Asheville	Big South	W	82	75		11	7	W 4		north-carolina-asheville	charleston-southern	2015
19	Sat, Jan 24, 2015	5:30 pm/est		REG		Gardner-Webb	Big South	W	93	80		12	7	W 5		gardner-webb	charleston-southern	2015
20	Wed, Jan 28, 2015	7:30 pm/est	Big South Network	REG		Radford	Big South	L	77	84		12	8	L 1		radford	charleston-southern	2015
21	Sat, Jan 31, 2015	7:00 pm/est	LFSN, MASN	REG	@	Liberty	Big South	W	74	62		13	8	W 1		liberty	charleston-southern	2015
22	Mon, Feb 2, 2015	8:00 pm/est	ASN, MASN2	REG	@	Winthrop	Big South	L	55	77		13	9	L 1		winthrop	charleston-southern	2015
23	Fri, Feb 6, 2015	7:00 pm/est	RUTV, Big South Network	REG	@	Radford	Big South	W	79	71		14	9	W 1		radford	charleston-southern	2015
24	Wed, Feb 11, 2015	7:30 pm/est		REG		Coastal Carolina	Big South	W	83	72		15	9	W 2		coastal-carolina	charleston-southern	2015
25	Sat, Feb 14, 2015	5:00 pm/est		REG	@	Longwood	Big South	W	65	64		16	9	W 3		longwood	charleston-southern	2015
26	Wed, Feb 18, 2015	7:30 pm/est		REG		Presbyterian	Big South	W	75	49		17	9	W 4		presbyterian	charleston-southern	2015
27	Sat, Feb 21, 2015	4:00 pm/est	ESPN3.com	REG	@	Campbell	Big South	W	86	57		18	9	W 5		campbell	charleston-southern	2015
28	Thu, Feb 26, 2015	7:00 pm/est		REG	@	Gardner-Webb	Big South	L	81	91		18	10	L 1		gardner-webb	charleston-southern	2015
29	Sat, Feb 28, 2015	4:30 pm/est		REG		High Point	Big South	W	97	93	3OT	19	10	W 1		high-point	charleston-southern	2015
30	Fri, Mar 6, 2015	12:00 pm/est	ESPN3.com	CTOURN	N	Longwood	Big South	L	60	68		19	11	L 1		longwood	charleston-southern	2015
31	Wed, Mar 18, 2015	7:15 pm/est	ESPN3.com	NIT	@	Old Dominion	CUSA	L	56	65		19	12	L 2		old-dominion	charleston-southern	2015
1	Sun, Nov 16, 2014	5:30 pm/est	ASN, WCCB, MASN	REG	@	Elon	CAA	W	73	60		1	0	W 1		elon	charlotte	2015
2	Thu, Nov 20, 2014	5:20 pm/est	ESPN U	REG	N	Penn State	Big Ten	W	106	97	2OT	2	0	W 2		penn-state	charlotte	2015
3	Fri, Nov 21, 2014	7:00 pm/est	ESPN U	REG	N	South Carolina	SEC	W	65	63		3	0	W 3		south-carolina	charlotte	2015
4	Sun, Nov 23, 2014	9:00 pm/est	ESPN 2	REG	N	Miami (FL)	ACC	L	58	77		3	1	L 1		miami-fl	charlotte	2015
5	Tue, Nov 25, 2014	9:00 pm/est	FSN, MASN2	REG		Miami (FL) (17)	ACC	L	74	77		3	2	L 2		miami-fl	charlotte	2015
6	Sun, Nov 30, 2014	3:00 pm/est	WCCB, ASN, MASN	REG	@	North Carolina-Asheville	Big South	W	66	63	OT	4	2	W 1		north-carolina-asheville	charlotte	2015
7	Wed, Dec 3, 2014	7:00 pm/est	TWC Sports	REG	@	Davidson	A-10	L	86	92		4	3	L 1		davidson	charlotte	2015
8	Sun, Dec 7, 2014	2:30 pm/est	MASN	REG	N	George Washington	A-10	L	70	78		4	4	L 2		george-washington	charlotte	2015
9	Tue, Dec 16, 2014	8:00 pm/est	WCCB, ASN, MASN2	REG		College of Charleston	CAA	W	90	85	OT	5	4	W 1		college-of-charleston	charlotte	2015
10	Thu, Dec 18, 2014	8:00 pm/est	WCCB, ASN, MASN	REG		Appalachian State	Sun Belt	W	75	65		6	4	W 2		appalachian-state	charlotte	2015
11	Sat, Dec 20, 2014	12:00 pm/est	FSN, MASN2	REG	@	Georgetown	Big East	L	78	81		6	5	L 1		georgetown	charlotte	2015
12	Tue, Dec 30, 2014	7:00 pm/est	ESPN3.com	REG	@	Georgia Tech	ACC	L	66	67		6	6	L 2		georgia-tech	charlotte	2015
13	Sun, Jan 4, 2015	1:00 pm/est	WCCB, ASN, MASN	REG		Old Dominion	CUSA	L	54	61		6	7	L 3		old-dominion	charlotte	2015
14	Thu, Jan 8, 2015	8:00 pm/est	HSSN	REG	@	Western Kentucky	CUSA	L	66	74		6	8	L 4		western-kentucky	charlotte	2015
15	Sat, Jan 10, 2015	7:00 pm/est		REG	@	Marshall	CUSA	W	77	72		7	8	W 1		marshall	charlotte	2015
16	Thu, Jan 15, 2015	7:00 pm/est		REG		North Texas	CUSA	W	73	57		8	8	W 2		north-texas	charlotte	2015
17	Sat, Jan 17, 2015	7:00 pm/est		REG		Rice	CUSA	L	68	73	OT	8	9	L 1		rice	charlotte	2015
18	Thu, Jan 22, 2015	8:00 pm/est		REG	@	Alabama-Birmingham	CUSA	L	76	81	OT	8	10	L 2		alabama-birmingham	charlotte	2015
19	Sat, Jan 24, 2015	6:00 pm/est		REG	@	Middle Tennessee	CUSA	L	69	72		8	11	L 3		middle-tennessee	charlotte	2015
20	Thu, Jan 29, 2015	7:00 pm/est		REG		Florida Atlantic	CUSA	W	86	61		9	11	W 1		florida-atlantic	charlotte	2015
21	Sat, Jan 31, 2015	7:00 pm/est		REG		Florida International	CUSA	L	70	78		9	12	L 1		florida-international	charlotte	2015
22	Wed, Feb 4, 2015	7:00 pm/est		REG		North Carolina A&T	MEAC	W	77	61		10	12	W 1		north-carolina-at	charlotte	2015
23	Sat, Feb 7, 2015	7:00 pm/est	COX	REG	@	Old Dominion	CUSA	L	57	61		10	13	L 1		old-dominion	charlotte	2015
24	Thu, Feb 12, 2015	9:00 pm/est		REG	@	Texas-El Paso	CUSA	L	68	73		10	14	L 2		texas-el-paso	charlotte	2015
25	Sat, Feb 14, 2015	3:00 pm/est		REG	@	Texas-San Antonio	CUSA	W	89	81		11	14	W 1		texas-san-antonio	charlotte	2015
26	Thu, Feb 19, 2015	7:00 pm/est	CBSSN	REG		Louisiana Tech	CUSA	L	82	83	OT	11	15	L 1		louisiana-tech	charlotte	2015
27	Sat, Feb 21, 2015	5:30 pm/est	Altitude, ASN, MASN	REG		Southern Mississippi	CUSA	W	71	43		12	15	W 1		southern-mississippi	charlotte	2015
28	Thu, Feb 26, 2015	8:00 pm/est		REG	@	North Texas	CUSA	L	65	81		12	16	L 1		north-texas	charlotte	2015
29	Sat, Feb 28, 2015	8:00 pm/est		REG	@	Rice	CUSA	W	77	76		13	16	W 1		rice	charlotte	2015
30	Thu, Mar 5, 2015	7:00 pm/est	FCS	REG		Western Kentucky	CUSA	L	84	88	OT	13	17	L 1		western-kentucky	charlotte	2015
31	Sat, Mar 7, 2015	7:00 pm/est		REG		Marshall	CUSA	W	86	73		14	17	W 1		marshall	charlotte	2015
32	Wed, Mar 11, 2015	3:30 pm/est	American Sports Network	CTOURN	N	Middle Tennessee	CUSA	L	60	63		14	18	L 1		middle-tennessee	charlotte	2015
1	Fri, Nov 14, 2014	5:30 pm/est		REG		Hiwassee		W	110	53		1	0	W 1		NA	chattanooga	2015
2	Sun, Nov 16, 2014	1:00 pm/est	ESPNews	REG	@	Wisconsin (3)	Big Ten	L	45	89		1	1	L 1		wisconsin	chattanooga	2015
3	Tue, Nov 18, 2014	9:15 pm/est	FS2	REG	@	Butler	Big East	L	48	70		1	2	L 2		butler	chattanooga	2015
4	Sat, Nov 22, 2014	7:00 pm/est		REG	@	Tennessee Tech	OVC	L	67	69		1	3	L 3		tennessee-tech	chattanooga	2015
5	Wed, Nov 26, 2014	12:00 pm/est		REG		Robert Morris	NEC	W	61	46		2	3	W 1		robert-morris	chattanooga	2015
6	Thu, Nov 27, 2014	2:30 pm/est		REG		Coastal Carolina	Big South	W	78	67		3	3	W 2		coastal-carolina	chattanooga	2015
7	Sat, Nov 29, 2014	12:00 pm/est	ESPN3.com	REG	@	Kennesaw State	A-Sun	L	69	77		3	4	L 1		kennesaw-state	chattanooga	2015
8	Tue, Dec 2, 2014	7:00 pm/est	ESPN3.com	REG		Georgia	SEC	L	55	86		3	5	L 2		georgia	chattanooga	2015
9	Mon, Dec 8, 2014	7:00 pm/est		REG		Montreat		W	104	50		4	5	W 1		NA	chattanooga	2015
10	Thu, Dec 11, 2014	6:00 pm/est		REG	@	Citadel	Southern	W	67	48		5	5	W 2		citadel	chattanooga	2015
11	Tue, Dec 16, 2014	7:00 pm/est		REG		Northern Kentucky	A-Sun	W	93	81		6	5	W 3		northern-kentucky	chattanooga	2015
12	Fri, Dec 19, 2014	8:00 pm/est	ASN, MASN	REG	@	Middle Tennessee	CUSA	L	58	68		6	6	L 1		middle-tennessee	chattanooga	2015
13	Mon, Dec 22, 2014	8:00 pm/est	FSN, ASN, MASN	REG		Alabama-Birmingham	CUSA	W	83	67		7	6	W 1		alabama-birmingham	chattanooga	2015
14	Mon, Dec 29, 2014	7:00 pm/est		REG		Lipscomb	A-Sun	W	78	60		8	6	W 2		lipscomb	chattanooga	2015
15	Sat, Jan 3, 2015	7:00 pm/est		REG		Furman	Southern	W	72	60		9	6	W 3		furman	chattanooga	2015
16	Mon, Jan 5, 2015	8:00 pm/est	MASN, ASN	REG		Wofford	Southern	L	64	68		9	7	L 1		wofford	chattanooga	2015
17	Thu, Jan 8, 2015	7:00 pm/est	SoCon Digital Network	REG		Western Carolina	Southern	W	66	60		10	7	W 1		western-carolina	chattanooga	2015
18	Sat, Jan 10, 2015	4:00 pm/est		REG	@	East Tennessee State	Southern	W	74	71	OT	11	7	W 2		east-tennessee-state	chattanooga	2015
19	Thu, Jan 15, 2015	8:00 pm/est		REG	@	Samford	Southern	W	82	76		12	7	W 3		samford	chattanooga	2015
20	Thu, Jan 22, 2015	7:00 pm/est		REG		Virginia Military Institute	Southern	W	86	64		13	7	W 4		virginia-military-institute	chattanooga	2015
21	Sat, Jan 24, 2015	6:00 pm/est	ESPN3.com	REG		North Carolina-Greensboro	Southern	W	81	72		14	7	W 5		north-carolina-greensboro	chattanooga	2015
22	Thu, Jan 29, 2015	7:00 pm/est	ESPN3.com	REG	@	Mercer	Southern	L	72	75	OT	14	8	L 1		mercer	chattanooga	2015
23	Sat, Jan 31, 2015	6:00 pm/est		REG		Citadel	Southern	W	78	73		15	8	W 1		citadel	chattanooga	2015
24	Thu, Feb 5, 2015	7:00 pm/est		REG	@	Furman	Southern	W	74	71	OT	16	8	W 2		furman	chattanooga	2015
25	Sat, Feb 7, 2015	4:30 pm/est	SoCon Digital Network	REG	@	Western Carolina	Southern	L	70	73		16	9	L 1		western-carolina	chattanooga	2015
26	Thu, Feb 12, 2015	7:00 pm/est	FSN	REG	@	Wofford	Southern	W	56	46		17	9	W 1		wofford	chattanooga	2015
27	Sat, Feb 14, 2015	6:00 pm/est		REG		Samford	Southern	W	79	72		18	9	W 2		samford	chattanooga	2015
28	Thu, Feb 19, 2015	7:00 pm/est		REG		Mercer	Southern	W	74	61		19	9	W 3		mercer	chattanooga	2015
29	Sat, Feb 21, 2015	8:00 pm/est	ASN, MASN	REG		East Tennessee State	Southern	W	67	59		20	9	W 4		east-tennessee-state	chattanooga	2015
30	Thu, Feb 26, 2015	7:00 pm/est		REG	@	Virginia Military Institute	Southern	W	86	82	2OT	21	9	W 5		virginia-military-institute	chattanooga	2015
31	Sat, Feb 28, 2015	5:00 pm/est		REG	@	North Carolina-Greensboro	Southern	W	61	58		22	9	W 6		north-carolina-greensboro	chattanooga	2015
32	Sat, Mar 7, 2015	6:00 pm/est	ESPN3.com	CTOURN	N	Furman	Southern	L	67	69		22	10	L 1		furman	chattanooga	2015
1	Fri, Nov 14, 2014	10:00 pm/est	Pac-12 Network	REG	@	Arizona State	Pac-12	L	50	86		0	1	L 1		arizona-state	chicago-state	2015
2	Sun, Nov 16, 2014	5:30 pm/est	FS1	REG	@	Creighton	Big East	L	66	84		0	2	L 2		creighton	chicago-state	2015
3	Tue, Nov 18, 2014	8:05 pm/est		REG		Indiana-Northwest		W	102	51		1	2	W 1		NA	chicago-state	2015
4	Sat, Nov 22, 2014	3:05 pm/est		REG		Trinity Christian		W	75	52		2	2	W 2		NA	chicago-state	2015
5	Mon, Nov 24, 2014	4:30 pm/est		REG	N	Georgia State	Sun Belt	L	46	69		2	3	L 1		georgia-state	chicago-state	2015
6	Tue, Nov 25, 2014	7:00 pm/est	Horizon League Network	REG	@	Oakland	Horizon	L	57	70		2	4	L 2		oakland	chicago-state	2015
7	Wed, Nov 26, 2014	4:30 pm/est		REG	N	Western Carolina	Southern	L	61	66		2	5	L 3		western-carolina	chicago-state	2015
8	Sat, Nov 29, 2014	1:00 pm/est		REG	@	Notre Dame	ACC	L	42	90		2	6	L 4		notre-dame	chicago-state	2015
9	Thu, Dec 4, 2014	8:00 pm/est		REG		DePaul	Big East	L	60	84		2	7	L 5		depaul	chicago-state	2015
10	Sat, Dec 6, 2014	2:00 pm/est		REG	@	Toledo	MAC	L	59	87		2	8	L 6		toledo	chicago-state	2015
11	Sun, Dec 14, 2014	4:05 pm/est		REG	@	Southern Illinois	MVC	L	50	65		2	9	L 7		southern-illinois	chicago-state	2015
12	Wed, Dec 17, 2014	8:00 pm/est	HSSN	REG	@	Western Kentucky	CUSA	L	60	75		2	10	L 8		western-kentucky	chicago-state	2015
13	Sat, Dec 20, 2014	3:05 pm/est		REG		Saint Joseph's (IN)		W	76	54		3	10	W 1		NA	chicago-state	2015
14	Mon, Dec 22, 2014	8:00 pm/est	FSN-MW	REG	@	Southern Illinois-Edwardsville	OVC	L	38	63		3	11	L 1		southern-illinois-edwardsville	chicago-state	2015
15	Mon, Dec 29, 2014	8:05 pm/est		REG		Nebraska-Omaha	Summit	W	69	66		4	11	W 1		nebraska-omaha	chicago-state	2015
16	Wed, Dec 31, 2014	1:00 pm/est	ESPN3.com	REG	@	Green Bay	Horizon	L	50	54		4	12	L 1		green-bay	chicago-state	2015
17	Sat, Jan 3, 2015	7:00 pm/est		REG	@	Bowling Green State	MAC	L	35	58		4	13	L 2		bowling-green-state	chicago-state	2015
18	Sat, Jan 10, 2015	8:00 pm/est		REG	@	Texas-Rio Grande Valley	WAC	L	59	64		4	14	L 3		texas-pan-american	chicago-state	2015
19	Sat, Jan 17, 2015	3:05 pm/est	ESPN3.com	REG	@	Missouri-Kansas City	WAC	L	62	64		4	15	L 4		missouri-kansas-city	chicago-state	2015
20	Thu, Jan 22, 2015	8:05 pm/est	ASN	REG		Seattle	WAC	L	67	75		4	16	L 5		seattle	chicago-state	2015
21	Sat, Jan 24, 2015	3:05 pm/est		REG		Cal State Bakersfield	WAC	L	41	57		4	17	L 6		cal-state-bakersfield	chicago-state	2015
22	Thu, Jan 29, 2015	9:05 pm/est		REG	@	Utah Valley	WAC	L	62	78		4	18	L 7		utah-valley	chicago-state	2015
23	Sat, Jan 31, 2015	9:00 pm/est	Cox7	REG	@	Grand Canyon	WAC	W	56	55		5	18	W 1		grand-canyon	chicago-state	2015
24	Thu, Feb 5, 2015	8:05 pm/est		REG		New Mexico State	WAC	L	61	69	OT	5	19	L 1		new-mexico-state	chicago-state	2015
25	Sat, Feb 7, 2015	3:05 pm/est		REG		Texas-Rio Grande Valley	WAC	W	78	73		6	19	W 1		texas-pan-american	chicago-state	2015
26	Sat, Feb 14, 2015	3:05 pm/est	ESPN3.com	REG		Missouri-Kansas City	WAC	L	50	61		6	20	L 1		missouri-kansas-city	chicago-state	2015
27	Thu, Feb 19, 2015	10:00 pm/est		REG	@	Cal State Bakersfield	WAC	L	51	64		6	21	L 2		cal-state-bakersfield	chicago-state	2015
28	Sat, Feb 21, 2015	10:00 pm/est		REG	@	Seattle	WAC	L	31	57		6	22	L 3		seattle	chicago-state	2015
29	Thu, Feb 26, 2015	8:05 pm/est		REG		Grand Canyon	WAC	W	74	70		7	22	W 1		grand-canyon	chicago-state	2015
30	Sat, Feb 28, 2015	3:05 pm/est		REG		Utah Valley	WAC	W	65	44		8	22	W 2		utah-valley	chicago-state	2015
31	Sat, Mar 7, 2015	9:00 pm/est		REG	@	New Mexico State	WAC	L	57	61		8	23	L 1		new-mexico-state	chicago-state	2015
32	Thu, Mar 12, 2015	10:00 pm/est		CTOURN	N	Seattle	WAC	L	45	49		8	24	L 2		seattle	chicago-state	2015
1	Fri, Nov 14, 2014	8:00 pm/est	ESPN3.com	REG		Saint Francis (PA)	NEC	W	52	37		1	0	W 1		saint-francis-pa	cincinnati	2015
2	Wed, Nov 19, 2014	7:00 pm/est	FSN-OH, ESPN3.com	REG		Morehead State	OVC	W	69	61		2	0	W 2		morehead-state	cincinnati	2015
3	Sun, Nov 23, 2014	5:00 pm/est	FSN-OH, ESPN3.com	REG		Eastern Illinois	OVC	W	54	49		3	0	W 3		eastern-illinois	cincinnati	2015
4	Tue, Nov 25, 2014	7:00 pm/est	FSN-OH, ESPN3.com	REG		North Carolina Central	MEAC	W	59	50		4	0	W 4		north-carolina-central	cincinnati	2015
5	Fri, Nov 28, 2014	6:00 pm/est		REG	N	Middle Tennessee	CUSA	W	69	51		5	0	W 5		middle-tennessee	cincinnati	2015
6	Sat, Nov 29, 2014	9:00 pm/est		REG	N	Mississippi	SEC	L	54	66		5	1	L 1		mississippi	cincinnati	2015
7	Tue, Dec 2, 2014	7:00 pm/est	FSN-OH, ESPN3.com	REG		Stony Brook	AEC	W	78	52		6	1	W 1		stony-brook	cincinnati	2015
8	Sat, Dec 13, 2014	9:00 pm/est	Big Ten Network	REG	@	Nebraska	Big Ten	L	55	56	2OT	6	2	L 1		nebraska	cincinnati	2015
9	Wed, Dec 17, 2014	9:00 pm/est	ESPN 2	REG		San Diego State (19)	MWC	W	71	62	OT	7	2	W 1		san-diego-state	cincinnati	2015
10	Sat, Dec 20, 2014	12:00 pm/est	ESPN U	REG		Virginia Commonwealth	A-10	L	47	68		7	3	L 1		virginia-commonwealth	cincinnati	2015
11	Tue, Dec 23, 2014	7:00 pm/est	FSN-OH, ESPN3.com	REG		Wagner	NEC	W	72	48		8	3	W 1		wagner	cincinnati	2015
12	Tue, Dec 30, 2014	4:00 pm/est	ESPN U	REG	@	North Carolina State	ACC	W	76	60		9	3	W 2		north-carolina-state	cincinnati	2015
13	Sat, Jan 3, 2015	11:00 am/est	ESPN 2	REG		Southern Methodist	AAC	W	56	50		10	3	W 3		southern-methodist	cincinnati	2015
14	Tue, Jan 6, 2015	7:00 pm/est	ESPN U	REG		East Carolina	AAC	W	69	48		11	3	W 4		east-carolina	cincinnati	2015
15	Sat, Jan 10, 2015	11:00 am/est	ESPN 2	REG	@	Connecticut	AAC	L	56	62		11	4	L 1		connecticut	cincinnati	2015
16	Thu, Jan 15, 2015	7:00 pm/est	ESPN	REG	@	Memphis	AAC	L	50	63		11	5	L 2		memphis	cincinnati	2015
17	Sat, Jan 17, 2015	7:30 pm/est	ESPN U	REG		Temple	AAC	W	84	53		12	5	W 1		temple	cincinnati	2015
18	Wed, Jan 21, 2015	7:00 pm/est	ESPNews	REG		Houston	AAC	W	67	54		13	5	W 2		houston	cincinnati	2015
19	Sun, Jan 25, 2015	2:00 pm/est	CBSSN	REG	@	Central Florida	AAC	W	56	46		14	5	W 3		central-florida	cincinnati	2015
20	Thu, Jan 29, 2015	8:00 pm/est	ESPN 2	REG		Connecticut	AAC	W	70	58		15	5	W 4		connecticut	cincinnati	2015
21	Sun, Feb 1, 2015	1:00 pm/est	CBSSN	REG	@	East Carolina	AAC	L	46	50		15	6	L 1		east-carolina	cincinnati	2015
22	Thu, Feb 5, 2015	9:00 pm/est	ESPN	REG	@	Southern Methodist (23)	AAC	W	62	54		16	6	W 1		southern-methodist	cincinnati	2015
23	Sat, Feb 7, 2015	8:00 pm/est	CBSSN	REG		South Florida	AAC	W	63	58		17	6	W 2		south-florida	cincinnati	2015
24	Tue, Feb 10, 2015	7:30 pm/est	CBSSN	REG	@	Temple	AAC	L	59	75		17	7	L 1		temple	cincinnati	2015
25	Sat, Feb 14, 2015	2:00 pm/est	ESPN U	REG		Tulane	AAC	L	49	50		17	8	L 2		tulane	cincinnati	2015
26	Wed, Feb 18, 2015	7:00 pm/est	ESPN 2	REG		Xavier	Big East	L	57	59		17	9	L 3		xavier	cincinnati	2015
27	Sat, Feb 21, 2015	9:30 pm/est	ESPN U	REG	@	Houston	AAC	W	63	53		18	9	W 1		houston	cincinnati	2015
28	Wed, Feb 25, 2015	7:30 pm/est	CBSSN	REG		Central Florida	AAC	W	83	60		19	9	W 2		central-florida	cincinnati	2015
29	Sat, Feb 28, 2015	2:00 pm/est	ESPNews	REG	@	Tulane	AAC	W	63	47		20	9	W 3		tulane	cincinnati	2015
30	Wed, Mar 4, 2015	9:00 pm/est	CBSSN	REG	@	Tulsa	AAC	W	56	47		21	9	W 4		tulsa	cincinnati	2015
31	Sun, Mar 8, 2015	12:00 pm/est	CBS	REG		Memphis	AAC	W	77	65		22	9	W 5		memphis	cincinnati	2015
32	Fri, Mar 13, 2015	9:20 pm/est	ESPN U	CTOURN	N	Connecticut	AAC	L	54	57		22	10	L 1		connecticut	cincinnati	2015
33	Thu, Mar 19, 2015	7:10 pm/est	CBS	NCAA	N	Purdue	Big Ten	W	66	65	OT	23	10	W 1		purdue	cincinnati	2015
34	Sat, Mar 21, 2015	2:53 pm/est	CBS	NCAA	N	Kentucky (1)	SEC	L	51	64		23	11	L 1		kentucky	cincinnati	2015
1	Fri, Nov 14, 2014	5:30 pm/est		REG	N	Virginia Military Institute	Southern	L	65	66		0	1	L 1		virginia-military-institute	citadel	2015
2	Sat, Nov 15, 2014	5:30 pm/est		REG	N	Air Force	MWC	L	55	68		0	2	L 2		air-force	citadel	2015
3	Wed, Nov 19, 2014	6:00 pm/est		REG		Toccoa Falls		W	71	58		1	2	W 1		NA	citadel	2015
4	Sat, Nov 22, 2014	6:00 pm/est		REG		Bob Jones University		W	81	50		2	2	W 2		NA	citadel	2015
5	Tue, Nov 25, 2014	7:00 pm/est	ESPN3.com	REG	@	Florida State	ACC	L	55	66		2	3	L 1		florida-state	citadel	2015
6	Sat, Nov 29, 2014	1:00 pm/est		REG		Warren Wilson		W	84	45		3	3	W 1		NA	citadel	2015
