G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
12	Wed, Dec 31, 2014	5:00 pm/est	ESPN3.com	REG	@	San Diego State	MWC	L	49	53		7	5	L 1		san-diego-state	air-force	2015
13	Sat, Jan 3, 2015	6:00 pm/est		REG	@	Nevada	MWC	L	62	80		7	6	L 2		nevada	air-force	2015
14	Wed, Jan 7, 2015	9:00 pm/est	Mountain West Network	REG		San Jose State	MWC	W	78	56		8	6	W 1		san-jose-state	air-force	2015
15	Sat, Jan 10, 2015	2:00 pm/est	ROOT-RM	REG		Colorado State	MWC	L	87	92		8	7	L 1		colorado-state	air-force	2015
16	Wed, Jan 14, 2015	9:00 pm/est	ROOT-RM	REG	@	New Mexico	MWC	L	48	60		8	8	L 2		new-mexico	air-force	2015
17	Sat, Jan 17, 2015	6:00 pm/est	ROOT-RM	REG	@	Utah State	MWC	L	59	71		8	9	L 3		utah-state	air-force	2015
18	Tue, Jan 20, 2015	9:30 pm/est	CBSSN	REG		San Diego State	MWC	L	45	77		8	10	L 4		san-diego-state	air-force	2015
19	Sat, Jan 24, 2015	2:00 pm/est	ROOT-RM, NW	REG		Boise State	MWC	L	68	77		8	11	L 5		boise-state	air-force	2015
20	Wed, Jan 28, 2015	10:00 pm/est		REG	@	San Jose State	MWC	W	66	52		9	11	W 1		san-jose-state	air-force	2015
21	Sat, Jan 31, 2015	10:00 pm/est	ESPN3.com	REG	@	Nevada-Las Vegas	MWC	L	63	74		9	12	L 1		nevada-las-vegas	air-force	2015
22	Wed, Feb 4, 2015	9:00 pm/est	ROOT-RM	REG		New Mexico	MWC	W	53	49		10	12	W 1		new-mexico	air-force	2015
23	Sat, Feb 7, 2015	2:00 pm/est	ROOT-RM	REG		Wyoming	MWC	W	73	50		11	12	W 2		wyoming	air-force	2015
24	Wed, Feb 11, 2015	9:00 pm/est	Mountain West Network	REG	@	Boise State	MWC	L	42	67		11	13	L 1		boise-state	air-force	2015
25	Sat, Feb 14, 2015	2:00 pm/est	ESPN3.com	REG		Nevada-Las Vegas	MWC	W	76	75		12	13	W 1		nevada-las-vegas	air-force	2015
26	Sat, Feb 21, 2015	6:00 pm/est	ROOT-RM	REG	@	Colorado State	MWC	L	53	66		12	14	L 1		colorado-state	air-force	2015
27	Wed, Feb 25, 2015	9:00 pm/est	ROOT-RM	REG		Nevada	MWC	W	75	70		13	14	W 1		nevada	air-force	2015
28	Sat, Feb 28, 2015	2:00 pm/est	ROOT-RM, NW, SW	REG		Utah State	MWC	L	60	74		13	15	L 1		utah-state	air-force	2015
29	Wed, Mar 4, 2015	10:00 pm/est	Mountain West Network	REG	@	Fresno State	MWC	L	66	68		13	16	L 2		fresno-state	air-force	2015
30	Wed, Mar 11, 2015	3:00 pm/est	Mountain West Network	CTOURN	N	New Mexico	MWC	W	68	61		14	16	W 1		new-mexico	air-force	2015
31	Thu, Mar 12, 2015	3:00 pm/est	CBSSN	CTOURN	N	Boise State (25)	MWC	L	68	80		14	17	L 1		boise-state	air-force	2015
1	Fri, Nov 14, 2014	8:00 pm/est		REG		Maryland-Baltimore County	AEC	W	74	57		1	0	W 1		maryland-baltimore-county	akron	2015
2	Thu, Nov 20, 2014	12:30 pm/est	ESPN3.com	REG	N	Southern California	Pac-12	W	66	46		2	0	W 2		southern-california	akron	2015
3	Fri, Nov 21, 2014	2:30 pm/est	ESPN U	REG	N	Miami (FL)	ACC	L	51	79		2	1	L 1		miami-fl	akron	2015
4	Sun, Nov 23, 2014	6:30 pm/est	ESPN U	REG	N	South Carolina	SEC	W	68	63		3	1	W 1		south-carolina	akron	2015
5	Tue, Nov 25, 2014	8:00 pm/est	ESPN3.com	REG	@	Penn State	Big Ten	L	72	78		3	2	L 1		penn-state	akron	2015
6	Sun, Nov 30, 2014	5:00 pm/est		REG		Bryant	NEC	W	72	66		4	2	W 1		bryant	akron	2015
7	Tue, Dec 2, 2014	7:00 pm/est		REG		Arkansas-Pine Bluff	SWAC	W	81	60		5	2	W 2		arkansas-pine-bluff	akron	2015
8	Thu, Dec 4, 2014	7:00 pm/est		REG		Western Illinois	Summit	W	73	49		6	2	W 3		western-illinois	akron	2015
9	Sat, Dec 13, 2014	7:00 pm/est		REG		Middle Tennessee	CUSA	L	61	62		6	3	L 1		middle-tennessee	akron	2015
10	Tue, Dec 16, 2014	8:00 pm/est	MeTV	REG	@	North Dakota State	Summit	L	46	55		6	4	L 2		north-dakota-state	akron	2015
11	Sat, Dec 20, 2014	7:00 pm/est		REG		Bluffton		W	92	53		7	4	W 1		NA	akron	2015
12	Tue, Dec 30, 2014	7:00 pm/est		REG		Marshall	CUSA	W	70	63		8	4	W 2		marshall	akron	2015
13	Sat, Jan 3, 2015	7:00 pm/est		REG		Coppin State	MEAC	W	79	62		9	4	W 3		coppin-state	akron	2015
14	Tue, Jan 6, 2015	7:00 pm/est		REG		Western Michigan	MAC	W	72	52		10	4	W 4		western-michigan	akron	2015
15	Fri, Jan 9, 2015	7:00 pm/est	ESPN U	REG	@	Toledo	MAC	L	67	84		10	5	L 1		toledo	akron	2015
16	Wed, Jan 14, 2015	7:00 pm/est		REG		Bowling Green State	MAC	W	67	50		11	5	W 1		bowling-green-state	akron	2015
17	Sat, Jan 17, 2015	7:00 pm/est		REG		Central Michigan	MAC	W	82	76		12	5	W 2		central-michigan	akron	2015
18	Wed, Jan 21, 2015	8:00 pm/est	ESPN3.com	REG	@	Northern Illinois	MAC	L	61	64		12	6	L 1		northern-illinois	akron	2015
19	Sat, Jan 24, 2015	2:00 pm/est		REG	@	Western Michigan	MAC	W	71	69		13	6	W 1		western-michigan	akron	2015
20	Tue, Jan 27, 2015	7:00 pm/est		REG		Ball State	MAC	W	59	47		14	6	W 2		ball-state	akron	2015
21	Sat, Jan 31, 2015	7:00 pm/est		REG	@	Bowling Green State	MAC	W	69	68		15	6	W 3		bowling-green-state	akron	2015
22	Wed, Feb 4, 2015	7:00 pm/est	ESPN3.com	REG	@	Ohio	MAC	L	82	83		15	7	L 1		ohio	akron	2015
23	Sat, Feb 7, 2015	7:00 pm/est	ESPN3.com	REG		Buffalo	MAC	W	75	72		16	7	W 1		buffalo	akron	2015
24	Tue, Feb 10, 2015	7:00 pm/est	ESPN3.com	REG		Kent State	MAC	W	61	52		17	7	W 2		kent-state	akron	2015
25	Sat, Feb 14, 2015	2:30 pm/est		REG	@	Eastern Michigan	MAC	L	75	78		17	8	L 1		eastern-michigan	akron	2015
26	Wed, Feb 18, 2015	7:00 pm/est	TW Sports, ESPN3.com	REG		Toledo	MAC	L	66	68		17	9	L 2		toledo	akron	2015
27	Sat, Feb 21, 2015	7:30 pm/est		REG		Miami (OH)	MAC	L	52	57	OT	17	10	L 3		miami-oh	akron	2015
28	Tue, Feb 24, 2015	7:00 pm/est	ESPN3.com	REG	@	Buffalo	MAC	L	62	67		17	11	L 4		buffalo	akron	2015
29	Fri, Feb 27, 2015	8:00 pm/est	ESPN U	REG		Ohio	MAC	W	70	58		18	11	W 1		ohio	akron	2015
30	Tue, Mar 3, 2015	7:00 pm/est		REG	@	Miami (OH)	MAC	L	63	70		18	12	L 1		miami-oh	akron	2015
31	Fri, Mar 6, 2015	7:00 pm/est	ESPN 2	REG	@	Kent State	MAC	L	77	79		18	13	L 2		kent-state	akron	2015
32	Mon, Mar 9, 2015	7:00 pm/est		CTOURN		Northern Illinois	MAC	W	76	52		19	13	W 1		northern-illinois	akron	2015
33	Wed, Mar 11, 2015	9:10 pm/est	ESPN3.com	CTOURN	N	Western Michigan	MAC	W	58	45		20	13	W 2		western-michigan	akron	2015
34	Thu, Mar 12, 2015	9:00 pm/est	ESPN3.com	CTOURN	N	Kent State	MAC	W	53	51		21	13	W 3		kent-state	akron	2015
35	Fri, Mar 13, 2015	9:15 pm/est	ESPN3.com	CTOURN	N	Buffalo	MAC	L	59	68		21	14	L 1		buffalo	akron	2015
1	Fri, Nov 14, 2014	7:00 pm/est	WHIO	REG	@	Dayton	A-10	L	52	76		0	1	L 1		dayton	alabama-am	2015
2	Tue, Nov 18, 2014	7:00 pm/est	ESPN3.com	REG	@	Georgia Tech	ACC	L	46	66		0	2	L 2		georgia-tech	alabama-am	2015
3	Sat, Nov 22, 2014	8:00 pm/est		REG		Oakwood		W	81	61		1	2	W 1		NA	alabama-am	2015
4	Tue, Nov 25, 2014	8:00 pm/est		REG		Jacksonville State	OVC	L	61	67		1	3	L 1		jacksonville-state	alabama-am	2015
5	Sat, Nov 29, 2014	7:00 pm/est		REG	@	Southeast Missouri State	OVC	L	51	85		1	4	L 2		southeast-missouri-state	alabama-am	2015
6	Sat, Dec 6, 2014	4:00 pm/est		REG	@	Bowling Green State	MAC	L	47	64		1	5	L 3		bowling-green-state	alabama-am	2015
7	Sun, Dec 14, 2014	3:00 pm/est	ESPN3.com	REG	@	Virginia Tech	ACC	L	55	65		1	6	L 4		virginia-tech	alabama-am	2015
8	Fri, Dec 19, 2014	9:00 pm/est	FS1	REG	@	Marquette	Big East	L	49	83		1	7	L 5		marquette	alabama-am	2015
